@relation opinion
@attribute sentence string
@attribute category {positive,negative,neutral,objective}
@data
' Playing as the Browns HC K. Fri in #Madden13, XFacalac lost to the Ravens 21-28 on All-Madden #ConnectedCareers ',neutral
' #CFC @juanmata10 is the best of the Premier League! His overall EA Sports Player Performance Index score: 217. (1st place) #MataMagic ',positive
' Ohhh Nairobi leggings 😍😍😍 ',negative
' The pain is far deeper than a Billy cundiff missed field goal. Gotta wake up and forget about it tomorrow. #Orioles #stayhungry ',neutral
' @grandvincenzo on November 16 be ready to head to the movies. Breaking Dawn: Part 2. (; ',positive
' Tomorrow shall consist of watching Will Ferrell films with my fave people and Chinese food, sweet. ',positive
' Alex Poythress had 11 points and 7 rebounds in his debut with Kentucky during an exhibition game on Thursday. He played 28 minutes. ',objective
' I think I may have a heart attack for Jason Wu s new collection. So Charlotte Rampling in the Night http://pinterest.com/pin/68891069271126578/ … ',positive
' Amazing concert tonight with Jim White and the TCU Jazz Ensemble/Faculty Jazz Combo! Don t miss tomorrow night... http://fb.me/25EQZW3B0  ',positive
' #Nationals 9th Inning had that "4th Quarter #Redskins" feel, didn t it? Coulda swore I saw Cundiff shank one from the mound. ',neutral
' Capello says time for Russia to win big match: Russia manager Fabio Capello on Thursday said that he intended to... http://bit.ly/Q1z5MC  ',positive
' JACKALS GOAL! Jimmy Martin sneaks a rebound past Killeen to give Elmira a 2-1 lead. Bushee & Bellamy with the assists.1:09 left 2nd period ',neutral
' Kick-off your weekend with service! EV! s Get on the Bus trip to the Boys & Girls Club is Friday from 3-6! Hope to see you there :) ',positive
' "@PaperChasinAL: Damn next Saturday tho" Niggas was trynna get shit over with #early ',negative
' Blog Post: MTV s "Teen Mom 2" Returns for an Intense Third Season with Chelsea, Jenelle, Kailyn and Leah on Monday,... http://dlvr.it/2LLcQV  ',objective
' @elifyk1 Hi Elif Greetings from USA midwest How is school going? Happy Turkish Republic Day! I can t wait for Nov 8 #NewGlee Yes! ',positive
' Hoping to look FIT tomorrow on the Jeremy Kyle show #ITVFashion ',positive
' Grammys concert pays moving tribute to Whitney Houston: Whitney Houston was given a final sendoff by the Grammys on Thursday as Halle... ',positive
' We tallied up the votes and are announcing the winners for Calling All Communities! Tune in http://uscellular.com/  on Nov 1st at 11am (CST) ',neutral
' Halloween may be the second worst holiday, right after valentine s day ',negative
' Just found a piece of candy that may have been injected with something. #Why ',negative
' Somehow I managed to "lose" my princess leia bra on Saturday. I m going to Noel Gallagher as "Glock at Phish" ie jorts&tank. @custymcnoob ',neutral
' so suggest some child friendly apps for ipad and some not so child friendly as well ;) ',neutral
' The moments last night when you can t tell if it s for Halloween, or just an ordinary night in Camden #drinkup ',neutral
' Are you ready to shop The New Collection from H&M tomorrow?? The Grey Concept from H&M http://www.madaboutthegirl.com/2012/10/the-grey-concept-from-h.html?spref=tw … #fashion #shopping #highstreet ',neutral
' FAQ: What is  skeuomorphic design  and the executive shakeup at Apple: SAN FRANCISCO, CA - MARCH 07: Apple CEO ... http://bit.ly/T89gNo  ',objective
' Um I just learned that Sunday is NATIONAL CHOCOLATE DAY. I m totally taking advantage of that. ',positive
' Noel Gallagher: "Musicians are fucking idiots." - Yeah, Brian May - he s an idiot... an idiot who just so happens to be a professor? ',negative
' @HOPE_forHippies Hell yea lmfaoo , & see you tomorrow Asia baby (; ',positive
' @Real_Liam_Payne I wanted you to know that here in Argentina is going to make a directioner fest 10 November te Amo TE AMO te amo! ',neutral
' Its November already.. Christmas will be here soon, then New Year, then Valentine s day then GRADUATION?!?! ',neutral
' Niggas be on the LAKERS DICK...we still gon finish damn near first seed...while yo team be struggling for the 8th spot ',negative
' YEP☺ strong man. 81 in october RT "@StevenB7777: @RediTlhabi Nothing wrong with DT s moral compass, even at, what, 82..." ',positive
' Just got tickets to see Muse in Florida. That, combined with the Grammys two weeks prior, equals a really busy February for Ruby and myself. ',objective
' Battle for the 17th banner: Royal Rumble basketball edition ',objective
' 4th Album out #RED, #20MillionSwifties, 6 Grammy Awards, 10 AMAs, 13 BMI Awards! Reigning Entertainer of the Year ACM! #6YearsTaylorSwift ',positive
' It s midnight on the east coast which means its @nickjonas birthday! HAPPY 20th BIRTHDAY NICK J!!!!!!!!!! <333 ',positive
' Monta Ellis / Ellis provided just five points on 2-of-13 shooting Thursday http://goo.gl/fb/rh1J8  #nba #playersnews ',neutral
' When I teach a basketball in my own school, we re gonna spend the 1st day watching Larry Bird videos, & the rest will take care of itself. ',neutral
' We are here @NBCofChicago for our 12th Anniversary celebration. You still have time to make it - 6620 S. King Dr ',positive
' @mysticvalley Mitch are you free on Sunday to bale leaves for an hour? If not no big deal you can have them for animals ',objective
' Love how I skipped every category of the NTA s besides the soaps. Couldn t give half a fuck if everything else went off the air tomorrow. ',positive
' New York Giants: Game-by-Game Predictions for the 2nd Half of the Season http://dlvr.it/2PF10l  ',objective
' C mon c mon does sound like Queen s we will rock you somehow... ',objective
' Pick the Chelsea team to play Swansea - Chelsea s focus now turns back to the Premier League and on Saturday we make... http://ow.ly/2sZ1js  ',objective
' I have this vision of all European airports full with hockey players. ',neutral
' My mom just texted me reminding me that Grammys birthdays tomorrow.. HOW COULD I EVER FORGET? #BiggestDayOfTheYear ',positive
' The mark of athena here we goooo. Brb reality ',positive
' Esperance will be without star player Youssef Msakni for the first leg of the Champions League final against Al Ahly on Saturday. #AFRICA ',negative
' @chrischris__ The Sun: Paolo Di Canio says beating Aston Villa tonight would be like having sex with Madonna. #legend ',negative
' Black History Fact: Marsalis is the 1st and only artist to win both classical and jazz Grammy Awards in one year, and to repeat the next yr ',positive
' Watching David Letterman with no audience but playing like they are still there is the 2nd most brilliant thing I ve seen tonight. ',positive
' HT: Norwich 0-0 #Spurs. We ve edged the 1st half without creating any clear cut chances. Bale s had a couple of decent long range efforts. ',neutral
' Guys, the Marijuana law in Colorado, Oregon, and Washington can pass this Tuesday. #HighHopes ',positive
' Breezin  won the Best Pop Instrumental Performance at the 19th Grammy Awards ',positive
' Not wearing make up to Dublin tomorrow until I m getting ready for the party. Help. ',negative
' Snow may fall for parts of CNY the next few days. Find out where the best chances will be at 6:42 am on TV & online: http://www.9wsyr.com/content/mediacenter/live/one.aspx … ',neutral
' It seem like Austin Rivers is tryin to had to get a bucket. I feel em tho my 1st game in the league I was trying hard too ',neutral
' Text from my dad: "you like Charles Dickens" 1) obvs looking at my amazon wish list (too late for Sunday) 2) why th surprise?! ',positive
' Upset alert in ACC men s soccer: #1 Maryland down 4-2 to Wake Forest late in the 2nd...AND down a man after an earlier red card. ',negative
' I may have missed out seeing Noel Fielding and Rich Fulcher today, but I did just see Tom Tilley! #samsimmons ',neutral
' Thankfully he s in Germany now. And comes home in January. Still dangerous though. ',negative
' Looper was amazing!!! Now to the theatre to see Simon Callow s  The Mystery of Charles Dickens  ...loving my Wednesday off work :-) ',positive
' If you re an October baby, then Happy Valentine s Day to your folks ... They have an annual memory ',positive
' Wish Maddie luck next saturday, she has a solo audition for Britain s Got Talent! :) ~ Ellie xxxxx ',positive
' % of Joe Pa masks at Penn State Sat? Or will PSU by allow then in the stadium? Is it bad to wear it? @Espngreeny ',neutral
' @Matt1Murphy so what do you think o me getting to go up there yesterday?? pretty intense... ',negative
' Mizzou commemorates its win over Kentucky with a T-shirt. No, really. | Dr. Saturday - Yahoo! Sports http://sports.yahoo.com/blogs/ncaaf-dr-saturday/mizzou-commemorates-win-over-kentucky-t-shirt-no-220237716--ncaaf.html … #fb ',positive
' When desean jackson returned that punt against giants, that was awesome ',neutral
' Happy Valentine s Day!!! @MAziing: Everyday is the 14th! ',positive
' I have to finish reading Paterno by tomorrow so I can watch football Sunday and Monday and prepare for the #NBA2k13 release #120pagesleft ',objective
' @sumeetkulkarni Season ends with Superbowl in first week of February. ',objective
' As an introduction to Literature we wrote about The Woman In Black, not something I particulalry want to read, may just cry #ShitMyself ',negative
' "Nick J all day" and "#30" on my powder puff pants. Looks like I m gonna be a stud tomorrow under the lights. @L_Starcevich @N_Jeffries13 ',positive
' Han mon dieu le remix de I am the best dans Dream High 2, je meurs XDDD ',positive
' Don t forget Mitch Daniels is going to be on Steven Colbert s show Thursday. Think this will come up as a topic? ',neutral
' @BarackObama: I would think you would do that if you are running for POTUS. It may be part of your job someday. ',neutral
' Grammy and Caleb going Freeport tomorrow chalee, ',neutral
' @Dapper_Dan1988 I have plans to go to CVS before work today and get something. That may be what I get. I m going to quarantine myself today ',objective
' Full Moon:Oct 29th. You can read more if you have your Sun Sign in Libra, Scorpio, Sag, Cap, Aqua or Pisces http://bit.ly/XDRWE1  ',neutral
' Drew Peterson may be convicted, but there is still conflict going on http://ow.ly/eqDBF  #whenwillitend #localnews #chicago ',neutral
' @WFAN660 Paterno wouldnt be charged. All hearsay on him and he did do his job (minimal as may be). He reported it. Rest is speculation. ',neutral
' With all Benson s attention, Frankie feels like a forgotten stepchild. Lets  founding father  him so he know we will never forget 2nd place. ',negative
' Police, protesters clash at Republic Day march in Turkey: On a day marking the 89th anniversary of the founding ... http://bit.ly/XM0AAg  ',negative
' Congratulations to #Braves Jason Heyward for Gold Glove honor...first of many for the J-Hey kid! ',negative
' Aww love you Austin Rivers and happy to see you get start in 1st NBA game...but it s against my boys, LETS GO SPURS! #Spurs #NBA ',positive
' Steven A Smith might be the biggest ass-hat at #ESPN.... thats not easy ',positive
' Patrick Roy s last game as a Canadien is one of the selections for this weekend s HNIC rewind. ',positive
' It s a huge mistake for the New York Marathon to be held this weekend when so many are without homes, food and power. ',negative
' the glass may be rising, but it s not getting any warmer here, Lago del Desierto, Argentina http://tmblr.co/ZdR5KwWQChR0  ',negative
' Apple software, retail chiefs out in overhaul: SAN FRANCISCO (Reuters) - Apple Inc CEO Tim Cook on Monday pushed out the powerful hea... ',neutral
' I m hosting the Day party @ Spartacus Friday From 2-6 and then @ Spy in Raleigh that night! ',objective
' I Ain t Doing Nun At Work Today But Sorting Out These Things ',objective
' Fabio Capello: "From what I ve seen these days I can assure you Russia are capable of getting a good result vs Portugal tomorrow". #cantwait ',positive
' Parker, Leonard steal OKC s thunder: Ninety minutes before tipoff Thursday night at the AT&T Center, Oklahoma Ci... http://bit.ly/Ry8xDI  ',negative
' @Kreuzer_11 I really do hope they finish the trade by Tuesday or Wednesday. Gagner is a real solid player and could help the sabres ',positive
' I -may- be the only girl on the face of the earth that DOESN T find Channing Tatum attractive. #callmecrazy #justsayin #donthateme ',negative
' Cold pizza and Mass Effect 3. I want my leg healed!! Going to look up some voodoo shit. I ll be walking, jumping and running tomorrow. ',neutral
' Channing tatum will be in white oak tomorrow...for all you stalkers out there ',neutral
' Games played during the week are now more interesting than Super Sunday! ',positive
' #hulu Video Game Trailers - Launch Trailer: Check out the launch trailer for Mass Effect 3. Added: Fri Oct 26 00... http://bit.ly/Y0T17V  ',objective
' Where is our defense? Have you seen them? @kcabe21 @Pastorjoshg @Ryan13C @corylethgo ',positive
' Stacie just hit me up and said my packages might be up here tomorrow if that s the case I m not going to the rave in San Fran. #priorities ',negative
' Give me 5 mins with Candy the dancer from Deja Vu I m nutting on my 4th pump she that bad lol ',negative
' Kevin Hart show at MSG on November 10th is going to be beautiful ',positive
' RT tutte, anche se non li vedremo, non costa niente. #welcometoitalyonedirection I LOVE YOU GUYS. ',positive
' @shootingrocks cof cof~ someone is going to Germany on november 30 ...oh I really envy you :) http://www.c-jes.com/ko/news/detail.asp?document_no=159&seq=340&searchType&searchStr … ',positive
' Thank you snow for cancelling classes today. Now you may stop snowing, so that I can drive to Chapel Hill tomorrow. I d really appreciate it ',positive
' #entrepreneur #angelinvestor pitch in on the new birthday party / Super Bowl Sunday treat http://www.indiegogo.com/projects/265398  ',positive
' #OilersMobile: July 20: Sam Gagner | http://bit.ly/LCw6gl-  @gagns89 nice to have you there for at least another year! ',positive
' think i might go see flight tomorrow just because Denzel Washington .. ',positive
' Mohamed Nasheed s Press brief about CONI report - 31 Aug 2012: http://youtu.be/Z-_CRJFfNN4  via @youtube ',objective
' Calling all reality TV fans: We re inviting LI reality TV stars to join a Google+ Hangout on Sunday and you can too. http://bit.ly/RWF8mY  ',objective
' Honesty is often best policy: Fabio Capello, Russia coach: "I was hoping Ronaldo s injury was more serious so he couldn t play tomorrow." ',negative
' This is Austin Rivers 1st game and people sucking him he a rookie chill ! ',negative
' @goatmilkstuff Hello. May I ask how did you get on set of Castle? ',neutral
' Throwback Thursday! Daddy and Joe Pa! RIP to, in my eyes, still the most winningest coach in college footbal http://instagr.am/p/O924GgC-k_/  ',positive
' As previously said the #Oilers WILL indeed announce the Gagner signing within 48 hrs as per a VERY connected Edmonton source. #MSM clueless ',negative
' Im enjoying Celebrity Juice instead of sleep, going to be fooked tomorrow though ',positive
' The Woman In Black - the legendary ghost thriller, touring to Dubai and Abu Dhabi in November & December. More... http://fb.me/xmTIHGwM  ',positive
' Can it please be Wednesday and POTUS has been re elected. Then we can move this country #Forward! ',neutral
' My universe definitely expanded while studying for physics. @DanniColee @JessieWagnon pic.twitter.com/1pWtB6yp ',negative
' #hcafc loan keeper Ben Amos named in the England under-21s side to face Azerbaijan next Thursday and Norway on Sept 10. ',objective
' norv turner calls a play action pass on 1st & goal at the half-yard line, rivers throws a pick. #chargers ',objective
' Obama will get at least 290 electoral votes. Taking all bets. @JoeNBC @morningmika ',neutral
' "@AmianaTyransky: Frankie: I think I m gonna have a date with my bed tomorrow Me: same." That s my boy ',positive
' Pray for Mohamed Morsi the new President of Egypt that he may continue to be a leader for freedom and peace. http://lockerz.com/s/244401131  ',positive
' got the jiiiii-nob! (: ',neutral
' Axl Rose needs to just give up. Now. Not later, not soon, not tomorrow. NOW! ',negative
' Shout out to my boy @JshapMMA who fights tomorrow night on the Las Vegas #rfa card. He s put in the work so I don t need to wish him luck. ',positive
' My moms bday is in 26 days OMG :0 what should i get her ? #Sagittarius ',positive
' If you re on the Isle of Man next Thurs, I ll be talking about Safe House and signing books at Waterstones from 6.30pm. @WaterstonesIoM ',objective
' PBR & @mokbpresents bring you Jim White at the @Do317 Lounge on October 23rd at 7 pm! http://ow.ly/etb1D  ',neutral
' Happy Halloween!! Starting this wicked Wednesday off listening to Pink Floyd and Leonard Cohen. Get to take my boys out tonight! Yay!! ',positive
' Austin Rivers needs to get stronger, #Spurs guards muscling him tonight. He started and just now scored in 4th. #Hornets ',negative
' On Sunday November 4th Olympus experts will be on hand at the Currys store in Cambridge. From 10:30am until... http://fb.me/Jnyk3a5s  ',objective
' Okay me and @megnicolelewis are about to watch The Woman In Black. This may be a terrible night. ',negative
' @Real_Liam_Payne Saturday I buy my ticket for the #TMHTOUR in Belgium! I m so happy!!!! ',positive
' This goes way too fast :O Its been already a year that I saw Avril Lavigne in concert <3 October 25 2011, one of the best day of my life :D ',positive
' “@SupremeJuice_: I pull up in a scion , you pull up in a _______ .”84 Honda civic wagovan ',neutral
' Yep, it s true. Torchlight II is a great game. ',neutral
' "How many continents was The Challenge filmed on?" "21?" okay, what did you fail 2nd grade? ',negative
' @TimOcchipinti Were going to be at Boys and Girls Club to clean tomorrow at 10am. They told us to bring boots and gloves. All are welcome. ',positive
' David Letterman had an interesting show on Monday. He is located in New York City. Because of the hurricane he... http://fb.me/1VZJfwcHu  ',positive
' November: my birthday month, election day, a weekend in San Fran with @AdamRGarcia, Naples for Thanksgiving, lots of friends & family. YES. ',positive
' We need wide angela..RT @LestaE @JustSidi are we? Maybe we can get that lens, but wait for few years later. Gun shuqi is ready to help. Haha ',neutral
' I ve been on TV a few times now. Still waiting for the call from ITV about Dancing On Ice though. Starting to think I may be TOO famous. ',negative
' Slap Shot: Nash, Back From Injury, Skates for Davos: Rick Nash of the New York Rangers returned to action in Switzerland on Tuesday. ',objective
' Nikon prostaff, can t wait to get it on and shoot tomorrow! pic.twitter.com/9z3DQMHu ',positive
' @AP I hope they make sure to take care of Eli Manning, Giants Vs Pittsburgh on Sunday #NFL ',positive
' I ve got 2 tickets to see Leonard Cohen in Rosemont, IL on November 23 that I can t use. Anyone interested? Face value is about $300. ',neutral
' @MCTachyon #peaisonfire ',objective
' @MittRomney come on Romney I may not be able to vote from Britain but I COMPLETLEY support you !!! Good Luck ! ',positive
' WWE #raw should be interesting next week. The Road Dogg returned to WWE at the Royal Rumble and Shawn Michaels is going to be on Raw Monday ',positive
' "Kendrick Perkins led the league for the 4th year in a row in SPM (Scowls per minute)" literally laughed out loud ',positive
' My #MUFC XI for Super Sunday: De Gea, Rafa, Rio, Evans, Evra, Clevz, Nani, Young, Roo, Chicha, RVP. What about you? ',objective
' Eli manning best 4th quarter QB in the game! ',positive
' I don t want a love like Jonny and June, I want a love like Blake and Miranda. ',objective
' Lin picks up a loose ball and just trucks Stuckey. Unfortunately, that s not allowed, to bench with 4th foul as Pistons reclaim lead, 67-65. ',negative
' Not sure what im going to be for halloween yet. Sun Shine is just too obvious, Larry Bird is the front runner as of right now. ',negative
' If Cundiff would ve made the Field Goal Sunday, I could ve been eatin  a free 6in sub at Subway for lunch! ',neutral
' Me personally don t see Grammy playing AFL again still 28 but i think he ll turn to something else now. Best of luck with what may be next. ',positive
' I feel do bad.. My boo Asia bday event maybe cancelled for this Sunday!... I was soooo looking forward to it ',negative
' Dirty Jim had to close that one out. If not, he may have started hearing comparisons to Cundiff in this town. ',neutral
' After the Mid Tennessee vs. Western Kentucky game, I hear they re gonna play the 2nd annual Ogalla, Nebraska Snail Chuckin  Pageant. ',neutral
' we re Sophia grace and rosie! Can t wait to see you on Ellen tomorrow! xxx @TheEllenShow @PrincessSGB @PrincessRGM pic.twitter.com/abvxnWQB ',positive
' I m going to Bullet for My Valentine at O2 Academy Glasgow in Glasgow, United Kingdom - Mar 13 http://bnds.in/Tu6iFA  ',neutral
' People & Power travels to Egypt to see how the April 6th activists have been faring since Mohamed Morsi s election. ',objective
' Shit, yeah, it s Thursday, Russell Howards Good News and Celebrity Juice is on ',positive
' Pretty good Thursday night with @juliecbirch! If only Rivers would stop sucking so bad! # @ Qualcomm Stadium http://instagr.am/p/RglngGyx6o/  ',positive
' I can not change yesterday. I can only make the most to day, and look with hope toward tomorrow. (Anonymous) ',negative
' Had a wonderful workshop on Thursday at SAG office with Carol Nadell of Selective Casting. She is such a... http://fb.me/1KeUoF4v7  ',positive
' @sarahjenne 2nd the Ryan budget was from many years ago, most recent didn t include that and Mitt s said many times he s the president and.. ',objective
' Why does everyone want to give Eli Manning credit for every win. The truth is Sunday s game should have been a blowout. ',neutral
' Charles Dickens may just have been me in another life. #thisisme http://instagr.am/p/RHUKVDRUyz/  ',neutral
' Going to Buffalo Wild Wings tomorrow with my life long friend Israel and my brother.. That s what I call a good night. #KnicksNation ',positive
' 7:15pm tomorrow night I have a date with Denzel! #Flight I can t wait! ',positive
' Apple CEO apologizes for error-ridden new map app - Apple CEO Tim Cook apologized Friday for the company&#039;s erro... http://ow.ly/2spR6O  ',positive
' New Die Hard movie coming out Feb 14.. Looks like Bruce Willis is going to be my Valentines date:o) ',positive
' I liked a @YouTube video http://youtu.be/Jm2JFTdLqbI?a  Anonymous - Remember, Remember the 5th of November ',positive
' Hello man in pointy, multicoloured, snake skin cowboy boots, a suit and Axl Rose s hair, you ve made my Friday heart even happier. ',positive
' Chael starts on FUEL TV on October 1st ',objective
' Hmm, I think I am living the movie Ground Hog Day, Grandma Jan and Isaac are back again this weekend ',objective
' Gotta go see Flight tomorrow Denzel is the greatest actor ever ',positive
' THIS! RT @dianasproveri: Making @yvettenbrown happy. "Yvette" lemon/lavender #cupcakes now at @Coffeeplusfood! http://lockerz.com/s/253897334  ',negative
' Anonymous asked: beard tweetd that intense message at M on tuesday abit after the halloween partys and she... http://tmblr.co/ZjFWEuWP6a2n  ',neutral
' #ladsontour mon the boys !!!!!!!!!!!!!!!!!!!!! theres only 1 thing missin #BANJOOOOOOOOOOOOOOOOOO how NOOOOOOOOO ',neutral
' Axl rose through the bose in my rolls, through the concrete u see a rose still rose, counted up a million dollars fore that sun rose ',neutral
' Played Dishonored (360), Darksiders 2 (360) and Mass Effect 3 (360) in the last 24 hours. http://raptr.com/skuall-7th?type=tw_sessiondigest … ',neutral
' Scariest man alive. Kendrick Perkins is close 2nd "@jemelehill Ray Lewis is probably the only human being ever not born with an indoor voice ',negative
' CAN I LIVE IN THIS VIDEO? Soul Train Line Let It Whip Dazz Band.mpg: http://youtu.be/eWVxLTnkx7c  via @youtube ',positive
' Chargers may go 8-8 but that will make playoffs in AFC... NFC teams must win 10 games! Fact! @MikeHillESPN @mortreport @Edwerderespn @PTI ',neutral
' Been sat in my room sticking down postcards of Tehran on the wall for God knows how long. Why has nobody invented a teleporting machine yet? ',negative
' I must find some sleep.. Long day and weekend ahead of me.. ',positive
' hahahaha spanish people and Nadal s box all smiling after the break in the 5th set HAHAHAHAHAHA #rewatchingAOfinal ',positive
' Sick Beard: Download Finished: 3rd Rock from the Sun - 5x11 - Dick Puts the  ID  in Cupid ',objective
' Sundays in the Sag is like a Friday in Idaho.....boring as fuck! ',negative
' On Monday I go back to my old job for the fourth time. My life is the Groundhog Day movie. ',objective
' Harry Redknapp is being heavily linked with the position as Blackburn manager today. However, QPR may have begun courting him already... ',neutral
' @_warrendavis packers to win superbowl xlvii ',negative
' yo I m excited for Royal Rumble might book that Monday off work so I can watch it ',positive
' @nickjonas Happy 20TH Birthday Nick J! Hope it s one of the best! You ve accomplished so much already... And so much more to come. LOVE YOU! ',positive
' #factsaboutme When I was born. On that day , it was the 2nd day of Chinese New Year. Immediately , i gotten lots of redpacket :D ',positive
' Monta Ellis / Ellis had just two points on 1-of-11 shooting on Friday against http://goo.gl/fb/9mlTL  #nba ',objective
' If any Baltimore team mascots come up missing 1st person of interest should be Billy Cundiff! Or the Redskins mascot is taken blame him! ',neutral
' I hope I can get a ticket to the #1D concert in Belgium!!!You can t order them till Saturday!Pfff...:s ',positive
' Low-fat Oasis - Edmonton Sun: Low-fat OasisEdmonton SunPoor Noel Gallagher -- up there all alone with his new ba... http://adf.ly/E7cxD  ',objective
' Egypt s Morsi gets red carpet welcome in Iran: TEHRAN, Aug 29: Egypt s Mohamed Morsi is in Iran for the first visit... http://goo.gl/Bt6iL  ',positive
' If Seattle and Portland were knit together and covered by the California sun, you d have San Fran. Kinda love it. ',positive
' Estou ouvindo Brown Eyes Live @ Friday Show with Jonathan Ross - Lady Gaga http://www.lastfm.com.br/user/giuliamares … via @lastfm ',neutral
' Niggas was really fighting at the gas station Sat night tho ',negative
' @fueltv @danaehite what about Holland?!  Countdown to UFC 153: Silva vs. Bonnar  debuts Tuesday on FUEL TV http://tinyurl.com/9sx37dp  ',objective
' #.:Aubig Black Leather Camera Case Bag Pouch Case with Strap for Olympus OM-D OMD EM5 E-M5 Cyber Monday Deals http://teee.freeblog.biz/aubig-black-leather-camera-case-bag-pouch-case-with-strap-for-olympus-om-d-omd-em5-e-m5-cyber-monday-deals/ … ',neutral
' @RaggyRach next Wednesday going to the Disney one. No chance Avril will go to the universal night #wimp ',negative
' @Corrreen Bullet for My Valentine next year? Do you still want to go see them? Presale starts tomorrow morning! ',neutral
' Yay Bruno Mars is coming out with a new album on December 11th.(; I MUST HAVE IT!! ',positive
' I m Like.. Why the fuck "Happy Valentines Day" is trending on the 12th of June? but anyways, I just knew that it is celebrated in Brasil. Xx ',positive
' @ImmortalTech Dublin this Saturday... Gotta get on the Guinness!! ',neutral
' Being addicted to temple Run may be the worst thing that s happened to me haha. ',negative
' @justinbieber is gonna be in Louisville, Kentucky tomorrow & I can t go to the show. I guess I ll just sit and listen to his music & pretend ',negative
' #Loanwatch: Ben Amos (Hull City) into extra time 1-1, in the 1st round of the League Cup. ',neutral
' Michael Jackson Bad 25 will air November 22 on ABC. Make sure you watch it! :) http://www.youtube.com/watch?v=1P0toSi4nbE&feature=youtube_gdata_player … ',objective
' @Bryn2renner forget about Dook now we own that series anyways! let s "Beat State" this saturday as we continue on to a succesful season. ',positive
' Theo vs Evra on Saturday. Wenger make this happen. ',positive
' Looking forward to seeing the Illegal Eagles at Dorking tomorrow night with Lin & Amigo. Best Eagles tribute band around. #illegaleagles ',positive
' happy valentines day to all my brazilian friends! ',positive
' Anonymous asked: Would we have a chance at seeing you for topless Tuesday? http://tmblr.co/ZGVN7xWOXnlk  ',neutral
' Pakistan approves liberalised visa accord with India - Islamabad, Nov 1 (IANS) Pakistan has approved a liberalised v... http://ht.ly/2sYvdR  ',positive
' Fabio Capello (Russia s head-coach) wishes Cristiano s injury was more serious. (Russia will play against Portugal tomorrow in the WCQ) ',negative
