@relation opinion
@attribute category {positive,negative,neutral,objective}

@attribute polarity real
@data
neutral,0.13636363636363635
negative,0.2
objective,0.0
neutral,-0.16666666666666666
negative,0.0
neutral,0.0
positive,0.13636363636363635
positive,0.25
neutral,0.0
negative,-0.39999999999999997
negative,0.0
neutral,-0.1
objective,-0.09999999999999992
positive,0.6
positive,0.0
positive,0.25
positive,0.8
neutral,0.0
positive,0.0
negative,0.08333333333333334
neutral,0.10000000000000002
neutral,0.13636363636363635
negative,-0.3106060606060606
neutral,0.0
neutral,-0.09621212121212121
neutral,-0.15555555555555559
positive,0.7
neutral,0.0
positive,0.55
neutral,0.45
positive,0.4
negative,0.05
negative,0.0
objective,0.0
positive,0.8
positive,0.275
positive,0.0
positive,0.24545454545454548
negative,-0.6
objective,0.5
negative,-0.05
neutral,0.053125000000000006
objective,-0.4333333333333333
positive,0.13636363636363635
positive,0.4681818181818182
positive,0.25
positive,0.575
positive,0.3
objective,0.0
positive,0.0
neutral,0.0
negative,0.35000000000000003
neutral,0.1
neutral,-0.06666666666666667
positive,0.35
negative,0.08333333333333333
neutral,0.0
positive,1.0
positive,0.45833333333333337
positive,0.5
positive,-0.09999999999999992
positive,0.04999999999999999
negative,0.0
positive,0.2875
neutral,5.551115123125783e-17
positive,0.0
positive,0.3121212121212121
neutral,0.0
positive,0.25
positive,0.0
negative,0.0
positive,0.0
negative,-0.15
neutral,0.0
positive,0.25
positive,0.0
positive,0.2
negative,-0.04000000000000001
negative,-0.225
neutral,-0.4
positive,0.44999999999999996
objective,0.0
positive,0.0
neutral,0.06818181818181818
positive,0.55
neutral,0.0
positive,0.8
objective,0.13636363636363635
positive,0.26666666666666666
positive,0.35
neutral,0.0
positive,0.0
positive,0.5666666666666667
neutral,0.0
negative,0.0
neutral,0.5
objective,-0.09375
negative,1.0
positive,-0.02499999999999994
neutral,0.0
positive,0.3
negative,0.0
objective,0.05
positive,0.525
positive,0.5
negative,0.5
objective,0.0
negative,0.0
positive,0.125
positive,-0.6999999999999998
positive,0.0
objective,0.024999999999999994
positive,0.0
positive,0.375
positive,0.39166666666666666
neutral,0.5333333333333333
objective,0.35
negative,0.0
negative,0.25
positive,0.6
positive,0.8
positive,0.375
positive,0.34545454545454546
neutral,0.0
positive,0.0
neutral,0.5
objective,0.5
positive,0.0
negative,0.1
positive,0.2
neutral,0.0
negative,-0.2
objective,0.0
negative,-0.20000000000000004
neutral,0.1
positive,0.13636363636363635
negative,-0.10714285714285715
neutral,0.0
positive,0.0
neutral,0.0
neutral,0.45
neutral,0.0
negative,1.0
negative,0.1
neutral,0.0
positive,0.01742424242424241
neutral,0.25
positive,0.3
neutral,0.3
positive,0.4583333333333333
positive,0.0
objective,0.06818181818181818
positive,0.0
positive,0.3833333333333333
positive,0.25
neutral,0.0
positive,0.2861111111111111
positive,0.0
negative,-0.3499999999999999
positive,0.525
positive,0.25
positive,0.375
positive,1.0
negative,1.0
negative,1.0
neutral,-0.09375
positive,0.13636363636363635
positive,0.4
negative,0.1
objective,0.0
objective,-0.04242424242424244
positive,0.25
negative,-0.15555555555555559
negative,-0.4
objective,0.0
negative,-0.325
positive,0.55
objective,0.13636363636363635
positive,0.0
objective,0.0
neutral,0.2
neutral,0.032467532467532464
positive,-0.06944444444444445
negative,-0.2
objective,-0.016666666666666666
negative,0.0
positive,0.3
negative,0.2857142857142857
positive,0.0
objective,0.0
positive,-0.6
objective,0.1
negative,-0.024999999999999994
positive,0.22000000000000003
positive,0.45
positive,0.04999999999999999
negative,0.0
positive,0.0
negative,-0.6
objective,0.0
positive,0.41818181818181815
negative,0.0
positive,0.0
neutral,0.0
positive,0.06666666666666667
neutral,0.1375
objective,0.0
neutral,0.13636363636363635
objective,0.11714285714285715
negative,0.8
positive,0.0
positive,0.0
objective,0.0
positive,0.0
positive,-0.22499999999999998
positive,0.7
negative,0.30000000000000004
objective,-0.4
objective,0.22424242424242424
negative,0.13636363636363635
positive,0.2
positive,0.5
neutral,0.0
positive,0.6
positive,0.5
positive,0.5
positive,0.09999999999999998
positive,0.8
positive,0.3666666666666667
negative,-1.0
negative,-0.26666666666666666
positive,0.2333333333333333
positive,0.4000000000000001
positive,0.8
positive,-0.2
negative,0.0
positive,0.7
objective,0.0
neutral,0.26666666666666666
positive,0.8
positive,0.0
negative,0.0
neutral,0.0
objective,0.0
neutral,0.0
negative,0.0
neutral,0.06818181818181818
neutral,0.05
neutral,-0.1875
positive,0.0
positive,0.30000000000000004
positive,0.31666666666666665
objective,0.0909090909090909
positive,0.375
negative,0.0
positive,0.8
objective,-0.4
positive,0.36250000000000004
negative,0.0
positive,-0.04999999999999999
neutral,0.11666666666666668
positive,0.3
positive,0.41818181818181815
negative,-0.08333333333333333
neutral,-0.01666666666666668
negative,0.0
positive,0.0
positive,0.0
negative,-0.1
positive,-0.29375
negative,-0.08333333333333327
positive,-0.13333333333333333
negative,-0.2777777777777778
neutral,0.0
objective,0.0
neutral,0.0
positive,-0.8
positive,-0.16666666666666663
neutral,0.8
objective,0.0
objective,0.0
positive,1.0
objective,-0.2125
objective,0.0
neutral,0.25
positive,0.18
negative,-0.225
positive,0.13636363636363635
negative,-0.4
positive,0.0
neutral,0.13636363636363635
positive,0.525
neutral,0.0
positive,0.041666666666666664
negative,0.3333333333333333
positive,0.0
objective,0.0
positive,-0.5
neutral,0.0
positive,0.4
objective,0.0
negative,0.13636363636363635
positive,-0.13333333333333333
positive,1.0
neutral,0.0
positive,0.07500000000000001
positive,0.0
positive,0.22499999999999998
neutral,0.0
positive,0.0
negative,0.2
objective,0.0
positive,0.08750000000000002
negative,-0.5
neutral,0.0
positive,0.3181818181818182
positive,0.0
positive,0.26666666666666666
positive,0.6
objective,0.5
neutral,0.8
objective,-0.1
positive,0.475
positive,0.5
neutral,0.0
neutral,-0.23333333333333336
positive,1.0
positive,0.0
objective,-0.4
positive,-0.19444444444444445
neutral,0.0
objective,0.0
negative,-0.1
negative,-0.3499999999999999
negative,0.3
positive,0.0
neutral,-0.15555555555555559
positive,0.0
negative,-0.1375
objective,0.0
positive,0.6
negative,-0.4
positive,0.0
neutral,0.03409090909090909
positive,0.07
neutral,-0.4
positive,0.3833333333333333
objective,0.0
neutral,0.06818181818181818
neutral,0.0
positive,0.9333333333333332
neutral,0.0
positive,0.0
neutral,-0.09999999999999992
objective,0.0
positive,0.4121212121212121
positive,0.0
positive,0.0
positive,0.0
positive,0.5
neutral,0.0
positive,-0.05
positive,1.0
neutral,-0.5
negative,0.0
positive,-0.07500000000000001
neutral,0.05
positive,0.40625
positive,0.375
positive,0.5
negative,0.0
neutral,0.0
negative,0.0
positive,0.5666666666666667
neutral,0.1
positive,-0.125
objective,0.13636363636363635
objective,0.4454545454545455
negative,-0.27499999999999997
negative,-0.7
positive,0.575
negative,0.0
negative,0.0
objective,-0.13181818181818183
positive,0.04
negative,-0.04444444444444446
neutral,0.0
positive,0.6
neutral,-0.2541666666666667
negative,0.0
objective,0.13636363636363635
positive,0.0
positive,0.016666666666666677
objective,0.5
negative,0.0
positive,0.5
negative,0.3
positive,0.3
positive,0.30625
neutral,0.0
negative,-0.6999999999999998
objective,0.225
positive,0.18
negative,0.35714285714285715
neutral,0.25
positive,0.0
positive,0.0
positive,0.0
positive,0.3125
neutral,0.25
positive,0.016666666666666663
positive,0.13636363636363635
negative,0.0
positive,0.35000000000000003
objective,0.0
positive,0.0
positive,0.0
objective,-0.125
positive,0.45
positive,0.425
positive,0.0
objective,-0.2
negative,-0.041666666666666664
negative,0.5
neutral,0.0
negative,-0.5
positive,0.25
neutral,0.0
negative,-0.30000000000000004
neutral,0.0
neutral,0.1
positive,0.4625
objective,0.0
negative,0.0
objective,-0.23076923076923078
positive,0.20833333333333334
negative,0.0
negative,0.25
positive,0.25
negative,-0.2
positive,0.4333333333333333
objective,0.12878787878787878
objective,0.0
positive,-0.4
negative,0.5
neutral,0.31212121212121213
positive,0.8
objective,-0.0625
positive,0.0
positive,0.0
neutral,0.0
positive,0.0
positive,0.2222222222222222
positive,-0.038095238095238106
negative,-0.125
objective,0.0
positive,0.0
negative,0.13636363636363635
negative,-0.5
neutral,0.375
negative,-0.2
objective,-0.15
neutral,0.0
positive,0.0
objective,-0.4
positive,0.2722222222222222
positive,0.21666666666666667
neutral,0.6
positive,0.0
positive,0.375
positive,1.0
positive,0.6000000000000001
positive,0.3611111111111111
objective,-0.3125
positive,0.27777777777777773
negative,0.0
objective,0.08888888888888889
positive,0.8
neutral,0.25
neutral,0.4
neutral,0.2875
positive,1.0
objective,0.0
objective,0.0
positive,0.13636363636363635
objective,-0.16666666666666666
positive,0.4215909090909091
neutral,0.0
positive,0.3333333333333333
negative,0.9
positive,0.0
negative,0.35
neutral,0.35
positive,0.175
neutral,-0.4
objective,0.0
positive,0.5
objective,0.0
negative,-0.4
objective,0.0
positive,0.0
negative,-0.5
positive,0.575
neutral,-0.4
positive,0.0
neutral,0.3333333333333333
positive,0.4
negative,0.0
positive,0.19814814814814816
neutral,-0.012500000000000011
objective,0.06818181818181818
positive,0.3333333333333333
neutral,0.0
negative,0.0
positive,0.1
positive,0.0
neutral,0.0
positive,0.4
neutral,0.2
positive,0.0
positive,-0.13181818181818183
objective,0.0
neutral,0.14285714285714285
negative,0.0
positive,0.3
neutral,-0.125
neutral,-0.1
objective,-0.125
objective,0.0
positive,0.5875
positive,0.7
positive,0.0
negative,-0.8
positive,0.0
neutral,0.0
negative,-0.15555555555555559
positive,0.35
objective,0.0
positive,0.35
neutral,-0.2
negative,0.07708333333333332
positive,0.35
objective,0.0
positive,0.13636363636363635
neutral,0.0
positive,0.0
positive,0.21666666666666667
positive,0.3
positive,0.8
neutral,0.0
positive,0.7
objective,0.13636363636363635
objective,0.25
negative,-0.025
neutral,0.0
objective,0.13636363636363635
neutral,0.16818181818181818
positive,0.0
objective,0.0
positive,0.7
positive,0.0
positive,0.8
positive,0.0
positive,0.3
neutral,0.0
positive,-0.08333333333333333
negative,-0.4
positive,0.8
positive,0.0
positive,0.35
positive,0.0
negative,-0.4
objective,0.0
neutral,0.0
positive,0.6
positive,0.375
objective,0.022222222222222213
objective,0.0
positive,0.0
positive,0.0
negative,0.0
negative,0.3181818181818182
positive,0.7
neutral,0.0
positive,0.9
positive,0.025
positive,0.5
positive,0.45
positive,0.2222222222222222
positive,-0.4
positive,0.0
objective,0.5
positive,0.75
negative,0.08333333333333333
neutral,0.25
positive,0.25
neutral,0.15
negative,0.5
negative,0.35
neutral,0.5
positive,0.13333333333333333
positive,0.5
negative,-0.18181818181818182
negative,0.0
negative,0.0
positive,0.375
objective,0.0
neutral,0.11481481481481481
positive,0.0
positive,0.7
positive,-0.4
positive,0.0
positive,0.375
negative,0.0
positive,0.1
neutral,-0.4
negative,-0.2
objective,0.0
negative,0.35000000000000003
objective,0.0
negative,0.0
positive,0.32323232323232326
negative,0.15000000000000002
positive,0.0
positive,0.35
negative,0.06818181818181818
positive,0.66
objective,0.25
positive,0.25875000000000004
neutral,0.0
positive,0.35
neutral,0.0
negative,0.19360269360269358
positive,0.0
positive,0.35
neutral,0.0
positive,0.2888888888888889
neutral,0.9
positive,0.5
objective,0.0
neutral,0.16666666666666669
neutral,-0.6
objective,-0.4
neutral,0.0
negative,0.45
negative,-0.3
negative,0.16
objective,-0.6999999999999998
positive,0.06
negative,0.5
positive,0.2
positive,-0.4
neutral,0.4
positive,0.6499999999999999
positive,0.5523809523809524
objective,0.0625
positive,0.44999999999999996
positive,0.0
positive,-0.4
positive,0.5
objective,0.0
neutral,0.20833333333333334
positive,-0.4
positive,1.0
negative,-0.1875
neutral,0.3333333333333333
negative,-0.22499999999999992
neutral,0.0
objective,0.0
neutral,0.25
negative,0.475
neutral,0.0
neutral,0.0
neutral,0.7
negative,-0.1125
positive,0.8
positive,0.2
neutral,0.65
objective,0.13636363636363635
neutral,0.031249999999999993
negative,-0.13333333333333336
positive,0.25
negative,-0.3333333333333333
positive,0.4375
objective,-0.05454545454545454
objective,0.13636363636363635
positive,0.4000000000000001
negative,-0.275
positive,0.45
objective,0.25
positive,0.55
neutral,0.19999999999999998
positive,0.7
positive,0.12222222222222222
positive,0.25
positive,0.2
positive,0.7000000000000001
positive,0.3055555555555555
objective,-0.0638888888888889
negative,0.0
positive,0.175
neutral,0.3333333333333333
positive,0.5833333333333333
positive,0.26785714285714285
negative,0.04999999999999999
neutral,-0.45
negative,0.043181818181818175
objective,0.0
positive,1.0
positive,0.5
objective,0.0
negative,0.0625
positive,0.7
negative,-0.3125
positive,0.0
positive,1.0
neutral,0.0
neutral,0.25
neutral,-0.025
objective,-0.1
positive,0.04999999999999999
positive,0.0
objective,0.07777777777777779
positive,1.0
negative,0.0
negative,0.30000000000000004
positive,0.125
neutral,0.0
positive,0.2
positive,0.08333333333333333
negative,-0.2
neutral,0.13636363636363635
neutral,0.19999999999999998
positive,0.1
positive,0.0
objective,-0.6999999999999998
objective,0.024999999999999994
positive,-0.06272727272727273
objective,0.0
negative,-0.23333333333333328
positive,-0.07692307692307693
positive,-0.025000000000000022
positive,0.8
positive,0.525
neutral,0.0
positive,0.0
positive,0.0
negative,0.016666666666666666
neutral,-0.033333333333333326
neutral,-0.5
positive,0.5
negative,0.0
objective,0.0
negative,0.0
neutral,0.0
objective,0.0
negative,-0.04999999999999999
positive,0.3
objective,0.1
objective,0.0
negative,0.3
neutral,0.0
objective,-0.15555555555555559
positive,0.0
positive,0.14861111111111114
neutral,0.0
positive,0.48750000000000004
neutral,-0.08333333333333333
negative,0.0
negative,0.0
positive,0.525
positive,0.25
neutral,0.3181818181818182
objective,0.0
positive,0.2681818181818182
positive,-0.0062500000000000056
positive,0.5
neutral,-0.2
negative,0.0
neutral,-0.1
positive,0.2125
objective,-0.4
positive,0.45
positive,0.4
positive,0.08
negative,0.14545454545454545
negative,0.8
positive,0.5
negative,0.05568181818181818
neutral,0.16666666666666666
positive,0.3
positive,0.2888888888888889
negative,0.0
positive,0.0
positive,0.03333333333333333
objective,0.13636363636363635
positive,0.6
negative,-0.1
negative,0.0
positive,0.1
objective,0.06818181818181818
negative,0.24
negative,-0.2
neutral,0.0
neutral,0.14069264069264067
neutral,0.0
positive,0.0
negative,-0.10000000000000002
positive,0.13636363636363635
objective,0.0
positive,0.0
positive,0.25
positive,0.3075
neutral,-0.09375
neutral,0.0
neutral,0.35
positive,0.3
negative,0.0
negative,-0.1625
neutral,-0.2
positive,0.8
positive,0.7
positive,-0.6
neutral,-0.16666666666666666
negative,-0.6
negative,0.0
positive,0.0
negative,0.025
positive,0.39999999999999997
positive,0.6
neutral,0.5
positive,0.375
positive,0.35
positive,0.26666666666666666
negative,0.0
positive,1.0
positive,0.0
positive,0.8
positive,0.3575757575757576
neutral,0.39999999999999997
negative,-0.6999999999999998
neutral,0.0
objective,0.2
positive,0.475
objective,-0.05
objective,0.0
positive,-0.225
objective,0.0
positive,0.0
neutral,0.0
neutral,0.0
positive,0.10277777777777779
negative,-0.06388888888888887
neutral,0.15000000000000002
negative,0.018181818181818174
positive,0.27878787878787875
negative,-0.5
neutral,0.3666666666666667
objective,-0.12121212121212122
objective,0.75
objective,-0.11666666666666665
neutral,0.0
neutral,-0.15555555555555559
positive,0.14444444444444446
objective,-0.07500000000000001
neutral,0.0
positive,0.5
objective,0.0
positive,0.13333333333333333
negative,0.15000000000000002
objective,0.0
neutral,0.0
positive,0.4
negative,0.2931818181818182
positive,0.375
positive,0.5
positive,0.5
objective,0.0
positive,-0.1
negative,-0.0875
neutral,0.0
positive,0.4
positive,0.0
objective,0.0
neutral,0.27187500000000003
objective,-0.4
negative,0.0
objective,-1.0
objective,0.06818181818181818
positive,0.3333333333333333
objective,0.0
objective,0.0
positive,0.4375
objective,-0.3277777777777778
neutral,-0.10285714285714287
objective,0.02500000000000001
objective,-0.25
neutral,0.5
positive,0.35
neutral,0.0
positive,0.5681818181818181
positive,0.04374999999999998
negative,-0.09999999999999999
neutral,0.16666666666666666
negative,-0.21250000000000002
neutral,-0.04375
positive,-0.3888888888888889
negative,-0.18333333333333335
negative,0.0
negative,-0.4
positive,-0.07575757575757576
positive,0.0
positive,0.1333333333333333
positive,0.11111111111111112
neutral,0.0
positive,0.0
negative,0.0
objective,0.0
neutral,0.0
negative,-0.2
objective,0.2
negative,-0.16666666666666666
objective,0.25
positive,0.85
positive,0.5666666666666668
positive,0.0
objective,0.12
negative,0.0
positive,0.4375
neutral,-0.05
objective,0.0
positive,0.04999999999999999
objective,0.0
positive,0.13636363636363635
positive,0.8
neutral,0.10714285714285714
positive,0.3333333333333333
positive,-0.3333333333333333
positive,0.4
positive,0.25
neutral,0.0
positive,0.55
positive,0.18333333333333335
neutral,-0.05
neutral,0.0
positive,0.05312500000000002
neutral,0.0
neutral,-0.125
positive,0.375
neutral,-0.2
neutral,0.0
neutral,0.16666666666666666
neutral,0.3
negative,0.0
negative,-0.4
negative,0.5
neutral,-0.125
positive,0.4375
negative,-0.3
negative,-0.025000000000000022
neutral,-0.21666666666666667
negative,-0.3
positive,0.048148148148148134
neutral,0.3181818181818182
objective,0.0
negative,0.0
positive,0.2
objective,0.0
positive,-0.4
objective,0.125
positive,0.35
positive,0.475
positive,0.0
negative,-0.025
positive,0.19999999999999998
positive,0.4
objective,0.0
negative,-0.52
objective,0.2785714285714286
neutral,0.04545454545454545
positive,0.17708333333333331
positive,0.44999999999999996
negative,-0.1
positive,0.0
positive,0.1
positive,0.3333333333333333
neutral,0.0
negative,-0.29999999999999993
positive,0.373015873015873
negative,-0.2
positive,0.0
positive,0.5
neutral,0.0
positive,-0.4
neutral,-0.1125
negative,-0.03333333333333333
objective,0.0
positive,0.0
positive,-0.21666666666666667
neutral,0.0
positive,0.5
neutral,0.5
negative,-0.15833333333333335
positive,0.4
positive,0.31785714285714284
positive,0.0
negative,0.03333333333333333
neutral,0.0
positive,0.39999999999999997
objective,0.0
neutral,-0.1
negative,0.0
positive,0.7
neutral,0.0
positive,0.18
positive,0.15
positive,0.8
positive,0.375
positive,0.35
objective,0.0
objective,-0.0625
neutral,0.02500000000000003
positive,0.5
objective,0.16
objective,0.3375
positive,0.45
positive,0.375
positive,0.09999999999999999
objective,0.0
objective,-0.06666666666666667
neutral,-0.1875
positive,0.2
neutral,-0.125
neutral,-0.4
neutral,0.11212121212121211
objective,0.8
negative,-0.16666666666666666
negative,-0.25
positive,0.5
objective,-0.013888888888888895
positive,0.3770833333333333
neutral,0.375
positive,0.8
neutral,0.06666666666666665
negative,0.4
negative,-0.6999999999999998
neutral,0.0
positive,0.0
neutral,0.0
positive,0.8
neutral,0.2
neutral,0.0
neutral,0.0
positive,-0.05
positive,0.04999999999999999
positive,0.2125
neutral,0.0
objective,-0.05
positive,0.5
positive,0.04999999999999999
neutral,0.0
positive,-0.1416666666666667
neutral,-0.13333333333333333
positive,0.375
objective,-0.1
neutral,-0.4
negative,-0.25
positive,0.30625
objective,0.0
positive,0.55
positive,-0.12000000000000001
neutral,0.8
negative,-0.24000000000000005
positive,-0.08333333333333333
negative,-0.25436507936507935
positive,0.125
positive,0.0
positive,0.0
negative,0.0
neutral,0.13
positive,-0.08240740740740742
neutral,0.13636363636363635
objective,0.0
objective,0.16481481481481478
neutral,0.0
negative,0.0
positive,0.7
neutral,0.0
neutral,0.2
positive,0.5
neutral,0.0
positive,0.1875
negative,-0.1777777777777778
positive,0.8
objective,0.0
negative,0.35714285714285715
positive,0.65
positive,-0.2
positive,0.4375
positive,0.4
positive,0.35
negative,0.0
objective,0.3
positive,0.3
positive,0.24166666666666667
objective,0.0
positive,0.19444444444444445
neutral,0.4928571428571428
neutral,-0.05
neutral,-0.125
neutral,0.0
positive,0.0
positive,0.35
neutral,0.0
objective,0.25
objective,0.06818181818181818
positive,0.15000000000000002
positive,0.35
objective,0.0
objective,0.0
negative,0.0
positive,0.8
negative,0.0
negative,-0.25
positive,0.0
positive,1.0
objective,0.13636363636363635
positive,0.175
neutral,0.0
positive,-0.04999999999999999
neutral,0.06666666666666665
neutral,0.0
positive,0.0
neutral,0.0
positive,0.0
positive,-0.03333333333333333
negative,-0.2125
negative,0.0
positive,0.1
positive,-0.15555555555555559
negative,0.0
objective,-0.031818181818181815
positive,-0.0050000000000000044
negative,0.16666666666666666
positive,0.5916666666666667
negative,0.0
neutral,0.0
neutral,0.0
positive,0.1645021645021645
positive,0.3
positive,0.4
positive,0.5
negative,-0.15
objective,0.0
objective,-0.08333333333333333
negative,0.0
negative,-0.5
neutral,0.0
positive,0.2333333333333333
positive,0.3
positive,0.29375
neutral,0.25833333333333336
negative,0.25
positive,0.0
negative,-0.4
positive,0.37878787878787873
objective,0.0
negative,0.35
neutral,0.1
negative,-0.4
objective,0.0
positive,-0.65
neutral,-0.4
negative,-0.26666666666666666
positive,0.5
positive,0.0
objective,0.325
positive,0.85
positive,0.4
positive,0.30000000000000004
neutral,0.0
positive,0.0
neutral,0.43000000000000005
neutral,0.13636363636363635
objective,0.0
positive,0.2833333333333333
positive,0.0
positive,0.39285714285714285
positive,0.6714285714285715
negative,0.26666666666666666
objective,0.0
positive,0.48333333333333334
positive,0.0
objective,0.13636363636363635
positive,0.5
positive,0.0
neutral,0.0
positive,0.0
positive,0.6000000000000001
positive,0.10416666666666666
objective,0.0
positive,0.2833333333333333
positive,0.0
objective,0.06818181818181818
negative,0.48333333333333334
positive,0.0
positive,0.25
positive,0.2111111111111111
negative,0.0
positive,0.2857142857142857
negative,0.024999999999999967
negative,0.9
positive,0.0
negative,0.42666666666666675
negative,0.0
neutral,-0.1
positive,1.0
negative,-0.125
objective,0.0
neutral,-0.009090909090909094
positive,-0.2
positive,0.7
positive,0.0
neutral,-0.05
objective,0.13636363636363635
negative,-0.2
objective,0.25
positive,0.26666666666666666
negative,0.0
positive,0.0
positive,0.0
objective,0.0
positive,0.13636363636363635
positive,0.014814814814814808
objective,0.0
objective,0.0
positive,0.2681818181818182
neutral,0.42500000000000004
positive,0.0
positive,0.0
objective,0.18333333333333335
neutral,0.0
objective,0.0
objective,0.8
neutral,-0.3416666666666667
negative,-0.14999999999999994
objective,-0.16666666666666666
positive,-0.1
positive,0.27619047619047615
positive,-0.15
positive,0.8
neutral,0.5
negative,0.0
negative,0.0
neutral,0.0
neutral,0.0
negative,0.2556818181818182
objective,0.0
negative,-0.04444444444444443
negative,0.0
neutral,0.25
neutral,-0.16666666666666666
positive,0.25
objective,0.0
positive,0.7
objective,0.05
positive,0.0
positive,0.2333333333333333
objective,0.4
positive,0.0
objective,0.25
negative,0.0
negative,-0.15555555555555559
positive,0.25
positive,0.4
positive,-0.4
objective,0.0
positive,0.4666666666666666
objective,0.0
positive,-0.5
objective,0.0
positive,-0.0625
positive,0.5
positive,0.0
negative,-0.3499999999999999
objective,0.1
positive,0.2857142857142857
negative,-0.1
neutral,-0.2
objective,0.16666666666666666
positive,0.41500000000000004
negative,0.0
positive,0.202020202020202
neutral,-0.1
positive,0.55
neutral,0.1
positive,0.2625
negative,0.0
objective,0.0
negative,-0.5
positive,0.75
positive,-0.15555555555555559
negative,0.5
neutral,0.0
negative,0.0
positive,0.12083333333333335
objective,0.0
objective,0.0
objective,0.0
objective,-0.1
objective,0.0
positive,-0.1
positive,0.2857142857142857
objective,0.07784090909090907
positive,0.1
objective,0.03333333333333333
objective,0.0
neutral,0.0
negative,-0.4
neutral,0.03125
objective,0.35714285714285715
positive,0.0
objective,0.0
positive,0.35
positive,-0.5
positive,0.8
negative,0.0
