@relation opinion
@attribute category {positive,negative,neutral,objective}
@attribute neg_score real
@attribute neu_score real
@attribute pos_score real
@attribute compund_score real
@data
positive,0.0,0.635,0.365,0.8475
positive,0.0,0.741,0.259,0.765
neutral,0.0,1.0,0.0,0.0
neutral,0.0,0.882,0.118,0.4939
positive,0.0,1.0,0.0,0.0
objective,0.0,0.809,0.191,0.6355
positive,0.122,0.732,0.146,0.1779
objective,0.0,1.0,0.0,0.0
objective,0.0,0.8,0.2,0.3612
objective,0.0,0.897,0.103,0.34
neutral,0.0,0.833,0.167,0.25
positive,0.149,0.851,0.0,-0.3885
positive,0.0,1.0,0.0,0.0
negative,0.0,0.866,0.134,0.5267
negative,0.133,0.756,0.111,-0.128
positive,0.0,0.786,0.214,0.7783
positive,0.052,0.587,0.361,0.8883
neutral,0.221,0.715,0.064,-0.5223
positive,0.0,1.0,0.0,0.0
positive,0.0,0.452,0.548,0.8979
negative,0.0,0.582,0.418,0.7845
neutral,0.0,0.8,0.2,0.7184
neutral,0.052,0.855,0.093,0.2732
positive,0.0,0.745,0.255,0.7345
negative,0.097,0.821,0.082,-0.1027
neutral,0.079,0.792,0.128,0.2481
negative,0.183,0.651,0.166,-0.0772
positive,0.0,0.741,0.259,0.7891
positive,0.0,0.829,0.171,0.5719
positive,0.0,0.504,0.496,0.8955
neutral,0.145,0.787,0.068,-0.4836
negative,0.0,0.797,0.203,0.5514
positive,0.108,0.69,0.202,0.4389
neutral,0.0,0.709,0.291,0.6249
positive,0.0,0.59,0.41,0.7067
objective,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
negative,0.178,0.822,0.0,-0.5142
positive,0.0,0.889,0.111,0.3612
positive,0.0,0.693,0.307,0.7351
neutral,0.091,0.909,0.0,-0.2263
neutral,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
neutral,0.164,0.836,0.0,-0.4497
neutral,0.0,0.938,0.062,0.1511
negative,0.076,0.758,0.166,0.3107
negative,0.091,0.909,0.0,-0.2263
negative,0.0,0.77,0.23,0.636
positive,0.0,0.737,0.263,0.8478
positive,0.179,0.821,0.0,-0.3412
positive,0.0,1.0,0.0,0.0
negative,0.097,0.81,0.093,-0.0258
negative,0.127,0.873,0.0,-0.3252
neutral,0.0,0.882,0.118,0.4215
objective,0.0,0.824,0.176,0.4574
objective,0.0,1.0,0.0,0.0
positive,0.0,0.706,0.294,0.7845
negative,0.158,0.842,0.0,-0.4939
positive,0.0,0.718,0.282,0.7564
negative,0.0,0.868,0.132,0.4404
neutral,0.152,0.8,0.047,-0.5972
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.477,0.523,0.8705
objective,0.0,1.0,0.0,0.0
positive,0.0,0.855,0.145,0.2168
negative,0.0,1.0,0.0,0.0
negative,0.15,0.73,0.12,-0.1779
positive,0.0,0.755,0.245,0.5994
positive,0.0,0.725,0.275,0.7125
positive,0.116,0.726,0.158,0.2193
positive,0.14,0.667,0.193,0.3597
positive,0.0,0.542,0.458,0.8519
positive,0.0,0.838,0.162,0.4753
positive,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
objective,0.0,0.824,0.176,0.5423
negative,0.132,0.481,0.387,0.858
negative,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
negative,0.106,0.894,0.0,-0.3612
positive,0.0,0.779,0.221,0.5267
positive,0.111,0.821,0.068,-0.2263
neutral,0.0,0.868,0.132,0.3802
negative,0.0,0.787,0.213,0.4019
objective,0.0,1.0,0.0,0.0
objective,0.0,0.87,0.13,0.34
neutral,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
positive,0.0,0.643,0.357,0.875
neutral,0.0,0.462,0.538,0.5411
negative,0.0,1.0,0.0,0.0
positive,0.081,0.749,0.171,0.4588
positive,0.0,1.0,0.0,0.0
objective,0.0,0.888,0.112,0.4404
neutral,0.0,1.0,0.0,0.0
positive,0.128,0.608,0.264,0.6449
negative,0.0,0.88,0.12,0.3818
objective,0.0,0.856,0.144,0.4939
negative,0.155,0.75,0.095,-0.296
positive,0.0,1.0,0.0,0.0
positive,0.056,0.653,0.291,0.875
neutral,0.0,1.0,0.0,0.0
neutral,0.0,0.355,0.645,0.8442
negative,0.2,0.642,0.158,-0.4291
positive,0.0,0.808,0.192,0.6908
positive,0.0,0.881,0.119,0.4019
positive,0.0,0.734,0.266,0.7603
neutral,0.084,0.623,0.293,0.8271
negative,0.0,1.0,0.0,0.0
objective,0.11,0.827,0.063,-0.296
positive,0.197,0.803,0.0,-0.4003
positive,0.0,0.625,0.375,0.8126
neutral,0.0,0.805,0.195,0.6249
objective,0.0,1.0,0.0,0.0
positive,0.0,0.56,0.44,0.9269
positive,0.0,0.906,0.094,0.4019
positive,0.0,0.864,0.136,0.4588
objective,0.0,0.837,0.163,0.5994
positive,0.0,0.64,0.36,0.6696
objective,0.0,0.304,0.696,0.9325
negative,0.183,0.817,0.0,-0.5719
negative,0.073,0.927,0.0,-0.2411
neutral,0.0,0.841,0.159,0.5562
positive,0.0,0.682,0.318,0.9042
negative,0.113,0.887,0.0,-0.3164
neutral,0.127,0.873,0.0,-0.4404
neutral,0.0,0.893,0.107,0.34
positive,0.0,0.842,0.158,0.5242
neutral,0.0,0.851,0.149,0.4215
objective,0.0,1.0,0.0,0.0
positive,0.193,0.535,0.273,0.128
positive,0.233,0.506,0.26,0.1756
negative,0.0,0.854,0.146,0.4404
positive,0.0,0.829,0.171,0.5719
objective,0.0,1.0,0.0,0.0
neutral,0.0,0.63,0.37,0.8402
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.757,0.243,0.7269
positive,0.0,1.0,0.0,0.0
positive,0.0,0.78,0.22,0.5859
positive,0.223,0.672,0.105,-0.4215
positive,0.0,0.781,0.219,0.4215
positive,0.0,0.861,0.139,0.5267
objective,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.0,0.704,0.296,0.6369
negative,0.0,0.737,0.263,0.6467
neutral,0.0,0.929,0.071,0.0772
neutral,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
neutral,0.0,0.854,0.146,0.34
negative,0.0,0.898,0.102,0.3818
positive,0.0,1.0,0.0,0.0
neutral,0.211,0.626,0.163,-0.3681
negative,0.0,0.92,0.08,0.2732
positive,0.0,1.0,0.0,0.0
positive,0.0,0.842,0.158,0.4588
objective,0.32,0.68,0.0,-0.765
negative,0.248,0.589,0.163,-0.3164
objective,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
negative,0.0,0.568,0.432,0.5859
positive,0.0,0.854,0.146,0.34
positive,0.0,0.515,0.485,0.9673
positive,0.0,0.839,0.161,0.6166
objective,0.0,1.0,0.0,0.0
neutral,0.178,0.72,0.103,-0.2924
positive,0.0,0.775,0.225,0.6209
objective,0.1,0.9,0.0,-0.25
positive,0.0,0.875,0.125,0.4588
positive,0.0,0.829,0.171,0.6003
neutral,0.0,1.0,0.0,0.0
negative,0.366,0.634,0.0,-0.6361
objective,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
negative,0.109,0.792,0.099,-0.0516
neutral,0.0,0.902,0.098,0.2387
positive,0.0,0.778,0.222,0.6103
positive,0.071,0.695,0.234,0.7311
neutral,0.0,1.0,0.0,0.0
negative,0.204,0.647,0.149,-0.2732
negative,0.06,0.94,0.0,-0.1027
neutral,0.0,1.0,0.0,0.0
objective,0.152,0.606,0.242,0.2714
positive,0.095,0.905,0.0,-0.2942
positive,0.0,1.0,0.0,0.0
positive,0.14,0.698,0.163,0.1531
positive,0.0,0.458,0.542,0.7959
neutral,0.0,0.857,0.143,0.25
positive,0.0,0.718,0.282,0.6705
negative,0.188,0.641,0.171,-0.101
neutral,0.0,0.816,0.184,0.5229
neutral,0.0,0.926,0.074,0.25
negative,0.573,0.427,0.0,-0.9699
neutral,0.189,0.811,0.0,-0.5983
neutral,0.11,0.816,0.074,-0.1779
neutral,0.0,0.897,0.103,0.34
positive,0.0,0.751,0.249,0.743
neutral,0.121,0.739,0.14,0.128
positive,0.0,0.697,0.303,0.6003
neutral,0.0,0.611,0.389,0.8481
positive,0.076,0.689,0.235,0.601
negative,0.0,0.913,0.087,0.2263
negative,0.384,0.435,0.181,-0.4215
objective,0.0,1.0,0.0,0.0
positive,0.0,0.739,0.261,0.8295
positive,0.0,0.92,0.08,0.25
positive,0.0,1.0,0.0,0.0
positive,0.0,0.586,0.414,0.9059
negative,0.129,0.643,0.229,0.3612
objective,0.0,1.0,0.0,0.0
negative,0.0,1.0,0.0,0.0
neutral,0.0,0.766,0.234,0.7269
objective,0.0,0.885,0.115,0.296
positive,0.0,1.0,0.0,0.0
positive,0.0,0.806,0.194,0.6249
positive,0.0,0.649,0.351,0.8442
positive,0.0,0.792,0.208,0.7163
positive,0.0,0.804,0.196,0.5927
objective,0.0,1.0,0.0,0.0
positive,0.0,0.588,0.412,0.6496
neutral,0.0,1.0,0.0,0.0
negative,0.0,1.0,0.0,0.0
neutral,0.186,0.814,0.0,-0.5859
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.762,0.238,0.533
negative,0.209,0.744,0.047,-0.631
neutral,0.0,0.884,0.116,0.3612
positive,0.0,0.705,0.295,0.7717
positive,0.0,0.443,0.557,0.9234
positive,0.076,0.924,0.0,-0.2244
positive,0.187,0.588,0.225,0.1779
positive,0.122,0.676,0.203,0.34
negative,0.11,0.89,0.0,-0.3818
positive,0.0,0.62,0.38,0.8478
neutral,0.153,0.699,0.148,-0.0323
positive,0.0,1.0,0.0,0.0
positive,0.0,0.837,0.163,0.5994
neutral,0.62,0.38,0.0,-0.5994
positive,0.0,0.792,0.208,0.6369
positive,0.0,0.791,0.209,0.7019
negative,0.103,0.718,0.179,0.3595
positive,0.0,0.67,0.33,0.8553
negative,0.121,0.823,0.056,-0.3595
neutral,0.0,0.766,0.234,0.6369
positive,0.0,1.0,0.0,0.0
positive,0.0,0.878,0.122,0.2714
positive,0.0,0.777,0.223,0.765
negative,0.532,0.468,0.0,-0.9509
negative,0.262,0.695,0.043,-0.8236
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.695,0.305,0.7845
objective,0.0,0.806,0.194,0.5574
positive,0.0,0.805,0.195,0.5962
neutral,0.12,0.88,0.0,-0.3818
positive,0.0,0.664,0.336,0.8439
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.79,0.21,0.6114
objective,0.0,0.905,0.095,0.2732
positive,0.165,0.684,0.151,-0.1007
positive,0.118,0.787,0.095,-0.1739
neutral,0.083,0.868,0.049,-0.2263
positive,0.0,0.841,0.159,0.4278
positive,0.0,0.583,0.417,0.8619
neutral,0.0,1.0,0.0,0.0
negative,0.165,0.709,0.126,0.0
neutral,0.0,0.788,0.212,0.6249
objective,0.0,0.909,0.091,0.34
negative,0.054,0.759,0.188,0.6124
positive,0.119,0.751,0.13,0.0772
neutral,0.0,0.632,0.368,0.6209
positive,0.0,0.76,0.24,0.7184
negative,0.0,1.0,0.0,0.0
objective,0.0,0.917,0.083,0.2023
positive,0.0,0.736,0.264,0.7783
positive,0.0,0.726,0.274,0.63
negative,0.173,0.827,0.0,-0.5574
objective,0.0,1.0,0.0,0.0
negative,0.213,0.787,0.0,-0.6597
positive,0.0,1.0,0.0,0.0
positive,0.24,0.76,0.0,-0.5848
positive,0.0,1.0,0.0,0.0
objective,0.0,0.895,0.105,0.4019
positive,0.0,1.0,0.0,0.0
positive,0.0,0.802,0.198,0.5719
positive,0.088,0.652,0.26,0.6696
neutral,0.0,0.675,0.325,0.8481
objective,0.0,1.0,0.0,0.0
negative,0.462,0.538,0.0,-0.7184
negative,0.191,0.652,0.157,-0.4215
positive,0.128,0.565,0.307,0.6973
positive,0.0,0.464,0.536,0.8498
positive,0.0,0.79,0.21,0.7034
positive,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
positive,0.11,0.89,0.0,-0.3561
neutral,0.0,0.621,0.379,0.7717
objective,0.0,0.67,0.33,0.8118
positive,0.0,0.86,0.14,0.0772
negative,0.107,0.787,0.107,0.0
positive,0.0,0.83,0.17,0.5399
neutral,0.0,0.886,0.114,0.2023
negative,0.336,0.664,0.0,-0.8912
objective,0.0,1.0,0.0,0.0
negative,0.234,0.766,0.0,-0.6369
neutral,0.0,0.45,0.55,0.5983
positive,0.0,0.895,0.105,0.2225
negative,0.143,0.696,0.161,0.1027
neutral,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
neutral,0.124,0.876,0.0,-0.4019
neutral,0.0,0.682,0.318,0.8164
neutral,0.0,0.91,0.09,0.1511
negative,0.191,0.669,0.14,-0.128
negative,0.071,0.772,0.157,0.4767
neutral,0.0,0.92,0.08,0.0772
positive,0.0,0.708,0.292,0.765
neutral,0.0,1.0,0.0,0.0
positive,0.092,0.625,0.283,0.6808
neutral,0.0,0.866,0.134,0.5719
positive,0.093,0.656,0.251,0.6249
positive,0.132,0.62,0.248,0.4588
objective,0.0,1.0,0.0,0.0
positive,0.0,0.69,0.31,0.8442
positive,0.12,0.578,0.302,0.6249
positive,0.0,0.786,0.214,0.4588
neutral,0.0,0.872,0.128,0.4215
positive,0.15,0.698,0.151,0.0085
positive,0.0,1.0,0.0,0.0
negative,0.305,0.695,0.0,-0.7398
positive,0.09,0.664,0.246,0.6908
positive,0.0,0.75,0.25,0.7906
positive,0.0,0.813,0.187,0.6802
positive,0.0,0.741,0.259,0.6369
negative,0.0,0.792,0.208,0.6369
negative,0.0,0.728,0.272,0.6249
neutral,0.0,0.915,0.085,0.34
positive,0.0,0.707,0.293,0.4404
positive,0.0,0.721,0.279,0.5399
negative,0.149,0.761,0.091,-0.1531
objective,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
negative,0.14,0.698,0.162,0.1007
negative,0.147,0.853,0.0,-0.4767
objective,0.0,1.0,0.0,0.0
negative,0.323,0.677,0.0,-0.7319
positive,0.0,0.867,0.133,0.4954
objective,0.0,0.863,0.137,0.1511
positive,0.134,0.741,0.125,-0.0516
objective,0.0,1.0,0.0,0.0
neutral,0.0,0.771,0.229,0.7458
neutral,0.0,0.895,0.105,0.25
positive,0.196,0.804,0.0,-0.5267
negative,0.25,0.75,0.0,-0.7696
objective,0.0,1.0,0.0,0.0
negative,0.256,0.744,0.0,-0.4753
positive,0.109,0.688,0.202,0.3584
negative,0.095,0.905,0.0,-0.296
positive,0.213,0.691,0.095,-0.5528
objective,0.0,0.847,0.153,0.4404
positive,0.0,0.876,0.124,0.34
objective,0.0,0.836,0.164,0.5147
negative,0.108,0.735,0.157,0.25
positive,0.078,0.523,0.398,0.875
positive,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
negative,0.296,0.704,0.0,-0.8126
positive,0.0,0.62,0.38,0.886
negative,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.0,0.873,0.127,0.4404
negative,0.0,1.0,0.0,0.0
positive,0.0,0.806,0.194,0.34
neutral,0.116,0.884,0.0,-0.2406
positive,0.165,0.731,0.104,0.2905
neutral,0.157,0.755,0.088,-0.3885
objective,0.0,0.909,0.091,0.2714
neutral,0.0,0.868,0.132,0.4939
objective,0.166,0.593,0.242,0.5502
negative,0.0,0.682,0.318,0.6868
positive,0.0,0.749,0.251,0.69
positive,0.0,0.837,0.163,0.5707
objective,0.0,0.774,0.226,0.3612
positive,0.0,0.871,0.129,0.5719
positive,0.171,0.655,0.174,0.024
positive,0.0,0.642,0.358,0.8585
negative,0.0,0.464,0.536,0.6983
objective,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
negative,0.0,0.78,0.22,0.5859
positive,0.3,0.7,0.0,-0.4588
positive,0.0,0.696,0.304,0.783
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.36,0.64,0.836
positive,0.0,0.876,0.124,0.4019
positive,0.0,0.811,0.189,0.6369
positive,0.0,0.755,0.245,0.5994
positive,0.0,0.581,0.419,0.8638
positive,0.0,0.487,0.513,0.9503
negative,0.291,0.709,0.0,-0.6249
negative,0.138,0.797,0.065,-0.25
positive,0.0,1.0,0.0,0.0
positive,0.103,0.672,0.225,0.4754
positive,0.0,0.788,0.212,0.7351
positive,0.337,0.663,0.0,-0.9042
negative,0.0,1.0,0.0,0.0
positive,0.15,0.562,0.288,0.4968
objective,0.0,1.0,0.0,0.0
neutral,0.0,0.576,0.424,0.7096
positive,0.0,0.774,0.226,0.6062
positive,0.0,0.667,0.333,0.8743
negative,0.188,0.702,0.11,-0.2006
neutral,0.082,0.773,0.145,0.3182
objective,0.0,1.0,0.0,0.0
neutral,0.286,0.714,0.0,-0.1531
negative,0.0,0.862,0.138,0.4926
neutral,0.29,0.66,0.05,-0.8002
neutral,0.0,1.0,0.0,0.0
neutral,0.0,0.872,0.128,0.2975
positive,0.0,1.0,0.0,0.0
positive,0.094,0.608,0.298,0.7717
positive,0.0,0.805,0.195,0.4404
objective,0.0,1.0,0.0,0.0
positive,0.0,0.855,0.145,0.4696
negative,0.22,0.578,0.202,-0.0772
positive,0.0,0.684,0.316,0.5719
objective,0.0,1.0,0.0,0.0
positive,0.12,0.492,0.388,0.8817
negative,0.0,0.902,0.098,0.1882
positive,0.0,0.849,0.151,0.4926
neutral,0.0,0.817,0.183,0.6671
positive,0.076,0.762,0.162,0.4005
positive,0.0,0.751,0.249,0.743
negative,0.0,0.918,0.082,0.1779
neutral,0.115,0.781,0.104,-0.0772
negative,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
positive,0.0,0.561,0.439,0.8798
negative,0.112,0.888,0.0,-0.34
positive,0.0,1.0,0.0,0.0
negative,0.0,0.721,0.279,0.6369
positive,0.085,0.783,0.131,0.3147
negative,0.125,0.875,0.0,-0.4588
neutral,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
neutral,0.0,0.876,0.124,0.4019
positive,0.468,0.532,0.0,-0.7405
positive,0.181,0.577,0.242,0.3802
neutral,0.0,0.714,0.286,0.4215
objective,0.0,1.0,0.0,0.0
objective,0.0,0.866,0.134,0.5267
positive,0.0,0.734,0.266,0.7783
objective,0.128,0.682,0.19,0.3695
objective,0.0,1.0,0.0,0.0
neutral,0.0,0.879,0.121,0.4404
positive,0.098,0.665,0.237,0.6597
negative,0.167,0.714,0.119,-0.25
positive,0.0,0.78,0.22,0.5859
negative,0.0,0.833,0.167,0.5859
positive,0.0,0.632,0.368,0.7901
neutral,0.0,0.93,0.07,0.2023
positive,0.0,0.635,0.365,0.8478
neutral,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
negative,0.0,0.855,0.145,0.5994
positive,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.144,0.567,0.289,0.4215
neutral,0.0,0.823,0.177,0.4215
positive,0.0,0.709,0.291,0.8313
objective,0.0,1.0,0.0,0.0
negative,0.166,0.834,0.0,-0.5826
positive,0.272,0.728,0.0,-0.6697
positive,0.0,0.837,0.163,0.6892
neutral,0.041,0.959,0.0,-0.0286
positive,0.25,0.455,0.295,0.1531
positive,0.0,0.808,0.192,0.6166
positive,0.0,0.776,0.224,0.7865
neutral,0.116,0.884,0.0,-0.3578
positive,0.0,1.0,0.0,0.0
negative,0.192,0.538,0.27,0.327
objective,0.0,1.0,0.0,0.0
positive,0.191,0.656,0.153,-0.1759
negative,0.14,0.86,0.0,-0.4767
neutral,0.136,0.864,0.0,-0.296
positive,0.0,0.744,0.256,0.6705
positive,0.148,0.762,0.09,-0.296
positive,0.0,0.792,0.208,0.6705
positive,0.079,0.592,0.329,0.8236
objective,0.0,0.708,0.292,0.7339
neutral,0.0,0.681,0.319,0.8176
objective,0.0,0.933,0.067,0.0772
positive,0.0,0.654,0.346,0.7835
positive,0.0,0.737,0.263,0.6908
neutral,0.0,0.673,0.327,0.8286
neutral,0.082,0.687,0.23,0.6476
positive,0.0,0.833,0.167,0.6369
positive,0.0,0.744,0.256,0.7351
objective,0.0,1.0,0.0,0.0
positive,0.0,0.612,0.388,0.7835
neutral,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
negative,0.222,0.695,0.083,-0.6369
negative,0.2,0.8,0.0,-0.5423
negative,0.0,0.704,0.296,0.8122
positive,0.0,0.75,0.25,0.7177
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.764,0.236,0.5719
negative,0.32,0.68,0.0,-0.8555
objective,0.0,1.0,0.0,0.0
positive,0.0,0.865,0.135,0.4215
negative,0.344,0.656,0.0,-0.8553
positive,0.159,0.611,0.231,0.2905
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.713,0.287,0.7031
neutral,0.147,0.769,0.084,-0.1796
positive,0.131,0.601,0.267,0.717
objective,0.0,1.0,0.0,0.0
neutral,0.305,0.695,0.0,-0.658
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.604,0.396,0.9151
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.883,0.117,0.3382
neutral,0.119,0.787,0.094,-0.202
objective,0.0,1.0,0.0,0.0
positive,0.0,0.84,0.16,0.6369
positive,0.226,0.604,0.17,-0.0026
positive,0.0,0.81,0.19,0.3786
positive,0.087,0.791,0.122,0.2244
positive,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.921,0.079,0.0516
positive,0.0,0.76,0.24,0.6249
neutral,0.14,0.86,0.0,-0.4753
negative,0.13,0.87,0.0,-0.4019
positive,0.0,1.0,0.0,0.0
neutral,0.0,0.8,0.2,0.5423
positive,0.079,0.681,0.24,0.6705
positive,0.0,0.707,0.293,0.8519
positive,0.0,0.564,0.436,0.7332
negative,0.0,0.865,0.135,0.3612
neutral,0.094,0.792,0.114,0.1007
negative,0.0,1.0,0.0,0.0
positive,0.0,0.6,0.4,0.8402
neutral,0.0,1.0,0.0,0.0
positive,0.0,0.692,0.308,0.8405
objective,0.0,0.78,0.22,0.5859
objective,0.0,1.0,0.0,0.0
negative,0.117,0.702,0.181,0.2263
negative,0.113,0.653,0.234,0.3612
positive,0.0,0.538,0.462,0.9037
negative,0.157,0.788,0.055,-0.5255
negative,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.159,0.757,0.084,-0.4153
negative,0.0,0.873,0.127,0.4404
neutral,0.0,0.873,0.127,0.2598
positive,0.0,0.859,0.141,0.4215
neutral,0.243,0.63,0.126,-0.4199
negative,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.0,0.633,0.367,0.8271
positive,0.0,0.714,0.286,0.5574
objective,0.0,0.87,0.13,0.4019
negative,0.0,1.0,0.0,0.0
positive,0.074,0.671,0.254,0.7269
negative,0.207,0.793,0.0,-0.5267
positive,0.0,0.802,0.198,0.6361
positive,0.153,0.678,0.168,-0.1379
neutral,0.0,1.0,0.0,0.0
negative,0.375,0.625,0.0,-0.8402
objective,0.122,0.799,0.08,-0.296
positive,0.155,0.742,0.102,-0.3612
negative,0.0,0.842,0.158,0.4574
neutral,0.1,0.778,0.122,0.184
positive,0.0,1.0,0.0,0.0
positive,0.0,0.69,0.31,0.8236
positive,0.0,1.0,0.0,0.0
positive,0.0,0.588,0.412,0.6808
neutral,0.0,1.0,0.0,0.0
positive,0.13,0.87,0.0,-0.2732
positive,0.0,0.856,0.144,0.4939
negative,0.333,0.667,0.0,-0.7574
positive,0.0,0.735,0.265,0.6884
objective,0.0,0.819,0.181,0.4767
positive,0.0,0.797,0.203,0.5903
positive,0.0,0.795,0.205,0.6331
objective,0.0,1.0,0.0,0.0
positive,0.0,0.868,0.132,0.4926
positive,0.0,1.0,0.0,0.0
positive,0.0,0.886,0.114,0.4497
objective,0.0,1.0,0.0,0.0
negative,0.07,0.93,0.0,-0.1655
negative,0.0,1.0,0.0,0.0
neutral,0.0,1.0,0.0,0.0
negative,0.093,0.717,0.191,0.5093
positive,0.0,0.776,0.224,0.6369
neutral,0.0,1.0,0.0,0.0
negative,0.282,0.622,0.096,-0.5994
neutral,0.093,0.802,0.105,0.0772
neutral,0.0,0.863,0.137,0.4019
positive,0.172,0.575,0.253,0.3384
objective,0.0,0.848,0.152,0.3612
negative,0.0,1.0,0.0,0.0
objective,0.0,0.828,0.172,0.4404
positive,0.0,0.739,0.261,0.7125
negative,0.099,0.83,0.071,-0.1759
negative,0.11,0.755,0.135,-0.0516
positive,0.152,0.662,0.186,0.2225
negative,0.127,0.873,0.0,-0.4404
positive,0.0,0.72,0.28,0.7896
objective,0.0,1.0,0.0,0.0
objective,0.0,1.0,0.0,0.0
positive,0.0,1.0,0.0,0.0
negative,0.158,0.774,0.067,-0.4153
neutral,0.0,0.651,0.349,0.7896
positive,0.0,0.76,0.24,0.6948
objective,0.096,0.74,0.164,0.2732
positive,0.058,0.561,0.381,0.9106
