@relation opinion
@attribute category {positive,negative,neutral,objective}
@attribute pnumber numeric
@attribute nnumber numeric
@attribute weight real
@attribute polarity real
@attribute question_mark {yes, no}
@data
negative,1,1,0.0,0.0,no
neutral,0,0,0.0,0.0,no
neutral,3,3,5.03160633790108,0.375,no
neutral,1,1,1.290385530919957,-0.125,no
neutral,0,0,4.723275041952199,0.09545454545454546,yes
objective,0,0,0.0,0.0,no
positive,2,2,1.13443751652303,0.0,no
negative,1,1,0.0,-0.8000000000000002,yes
positive,0,0,0.0,0.0,no
neutral,2,2,0.0,0.0,no
neutral,1,1,1.09262600177811,0.13636363636363635,yes
negative,0,0,2.027510673496557,0.175,no
positive,2,2,-3.234136259637364,-0.022222222222222237,no
objective,1,1,1.18185245861361,0.05,no
objective,0,0,0.0,0.0,no
positive,0,0,0.869896575344679,0.0,no
positive,1,1,2.345910347813619,0.4,no
neutral,1,1,0.0,0.0,no
neutral,1,1,0.0,0.6,no
positive,2,2,0.0,0.0,no
objective,2,2,0.410652882453197,0.2,yes
positive,2,2,0.0,-0.022222222222222216,no
objective,2,2,2.947675791649996,-0.16606060606060608,no
objective,2,2,0.0,0.4,no
objective,3,3,0.0,0.0,no
neutral,0,0,2.198528133892485,0.175,no
positive,1,1,0.0,0.0,yes
positive,0,0,0.0,0.0,no
negative,0,0,1.9866491157502169,0.125,no
negative,1,1,0.0,0.0,no
positive,0,0,1.0176534469377485,0.12666666666666668,no
positive,2,2,0.0,0.4666666666666666,no
neutral,2,2,3.2746055987713603,0.012500000000000004,no
positive,2,2,0.0,0.0,no
positive,1,1,1.42548140364596,1.0,no
negative,2,2,1.25696419523725,0.2,no
neutral,3,3,2.16898873994745,0.26666666666666666,no
neutral,2,2,1.9777623891620832,-0.3458333333333333,no
positive,1,1,0.513495502035281,-0.3,yes
negative,0,0,1.38339207737996,-0.10185185185185186,no
neutral,2,2,-1.65254547566672,0.375,no
negative,1,1,-0.786554903557735,-0.6,no
positive,1,1,2.22533977304312,0.6000000000000001,no
positive,1,1,2.397933479697056,0.8,no
positive,2,2,1.10479786345963,0.0,no
neutral,1,1,-3.51171860862072,-0.6999999999999998,yes
negative,1,1,0.700142381256017,0.225,yes
positive,0,0,0.0,0.35000000000000003,no
neutral,0,0,1.67840449351246,1.0,no
positive,1,1,2.47863435540192,0.30000000000000004,no
objective,0,0,0.0,0.0,no
objective,0,0,0.728546610120507,0.25,no
negative,1,1,-0.0871444165218816,-0.16666666666666666,no
positive,2,2,0.0,0.0,no
positive,1,1,0.992720122186223,0.58,no
neutral,0,0,0.0,0.0,yes
neutral,0,0,0.0,0.0,no
neutral,0,0,0.0,0.0,no
objective,0,0,0.0,0.0,no
neutral,0,0,1.21685492614942,0.425,no
neutral,0,0,0.0,0.0,no
neutral,0,0,2.34681681090307,-0.1,no
negative,2,2,0.0,0.0,no
negative,0,0,0.0,0.0,no
negative,3,3,0.728546610120507,0.375,no
positive,3,3,2.372724111676263,0.30000000000000004,no
positive,1,1,1.53902266802182,-0.21666666666666667,no
positive,1,1,1.608245523015745,-0.2,no
negative,0,0,1.647461430689678,0.34545454545454546,no
negative,0,0,0.0,0.0,no
neutral,0,0,2.3292196119926922,0.3,no
objective,0,0,0.0,0.0,no
objective,0,0,0.0,0.0,no
positive,3,3,4.9086398895919405,0.44999999999999996,no
negative,0,0,1.47082950922739,-0.1,no
positive,3,3,2.871473185408632,0.1,no
negative,1,1,2.38192408741527,0.4,no
neutral,0,0,0.292216824623177,-0.4,no
neutral,0,0,0.60259011929692,0.0,no
positive,1,1,2.50725345717974,0.4444444444444444,no
objective,1,1,0.927524894935943,-0.4,no
positive,1,1,0.0,0.0,yes
negative,3,3,0.0,0.0,no
negative,1,1,-3.51171860862072,0.0500000000000001,no
positive,0,0,2.06684271413265,0.85,no
positive,1,1,0.0,0.5,no
positive,0,0,0.0,0.2,yes
positive,2,2,0.0,0.2,no
positive,2,2,2.13629084208076,0.23484848484848483,no
positive,1,1,5.16767160365716,0.15,no
positive,1,1,0.0,0.0,no
objective,0,0,1.47303703528202,0.0,no
objective,1,1,1.68766741484143,0.0,no
negative,2,2,-0.0312297973905518,0.3888888888888889,no
negative,1,1,0.927524894935943,-0.4,no
neutral,0,0,0.0,0.0,yes
positive,0,0,0.0,0.5,no
negative,0,0,0.0,0.016666666666666677,no
positive,1,1,0.0,0.5,no
positive,0,0,0.9593409428431485,0.4444444444444445,no
neutral,2,2,0.0,0.0,no
negative,0,0,0.0,0.0,no
objective,0,0,1.10479786345963,0.0,no
objective,1,1,0.575659792308677,-0.033333333333333326,no
neutral,0,0,0.0,-0.3,no
positive,0,0,0.539273336475273,0.0,no
positive,2,2,1.09262600177811,0.13636363636363635,no
neutral,0,0,0.0,0.0,no
negative,2,2,0.0,0.3,no
positive,1,1,0.0,0.0,no
positive,0,0,0.0,0.0,yes
objective,1,1,2.46643278508096,0.25,no
neutral,0,0,0.60259011929692,0.0,no
positive,1,1,1.231925302304416,0.23333333333333336,no
negative,1,1,0.0,0.0,no
objective,1,1,0.0,0.0,no
negative,0,0,1.0806066399608285,-0.2222222222222222,no
positive,2,2,1.44519921674032,0.8,no
positive,1,1,0.0,0.6,no
neutral,0,0,0.0,0.0,no
neutral,3,3,2.010108970905563,0.24999999999999997,no
negative,0,0,1.16775105648271,0.125,yes
positive,2,2,3.2612825888621497,0.5833333333333334,no
positive,0,0,2.5562146186551997,0.3181818181818182,no
positive,0,0,0.0,0.0,no
neutral,1,1,4.09880615051158,0.019999999999999997,yes
negative,2,2,2.27609582456596,0.09999999999999999,no
objective,1,1,1.668285794086787,0.07878787878787878,no
positive,0,0,0.0,0.0,no
positive,3,3,1.21503846854329,0.5,no
neutral,2,2,0.0,0.25,yes
objective,0,0,0.0,0.0,no
positive,4,4,4.88345201172069,0.6,no
positive,0,0,2.774298071917678,0.009615384615384609,no
positive,0,0,0.426280861889116,0.39999999999999997,no
objective,1,1,-1.87510585100759,0.21666666666666667,yes
positive,2,2,0.927524894935943,0.3,no
objective,4,4,0.0,0.5,no
negative,4,4,0.15584322921801202,-0.28846153846153844,no
negative,2,2,0.84443959035192,0.011904761904761899,no
neutral,1,1,0.281785813434765,0.4,no
positive,2,2,1.10479786345963,0.3333333333333333,no
negative,1,1,-3.51171860862072,-0.6999999999999998,no
neutral,0,0,-1.3355915425371,-0.6,no
neutral,1,1,4.206869580418999,-0.1,no
positive,1,1,0.0,0.0,no
neutral,0,0,0.0,0.0,no
objective,0,0,0.0,0.0,no
positive,2,2,3.47573912884161,0.24999999999999997,no
positive,2,2,-0.03597947977910998,0.06250000000000003,no
negative,2,2,0.0,0.25,no
positive,2,2,2.746405698910528,0.5,no
objective,0,0,0.723594705466722,0.3,no
neutral,4,4,0.927524894935943,0.2,no
neutral,1,1,0.0,0.0,no
positive,3,3,4.49641172531514,0.25,no
positive,0,0,0.0,0.0,no
positive,1,1,1.09262600177811,0.13636363636363635,no
positive,1,1,2.1428634960042503,-0.07765151515151517,no
positive,0,0,0.0,0.6,yes
positive,3,3,0.0869960442362541,0.6,no
objective,0,0,0.0,0.0,no
objective,1,1,0.589370903952815,0.0,no
positive,0,0,0.0,1.0,no
negative,1,1,1.44519921674032,0.8,no
neutral,0,0,0.700142381256017,0.2,no
neutral,0,0,0.0,0.0,no
neutral,0,0,1.28183939222327,0.51,no
neutral,0,0,0.680720628079802,0.0,yes
negative,2,2,2.3080287952483003,0.025,no
positive,2,2,0.0,0.13636363636363635,yes
neutral,1,1,0.0,0.8,no
negative,0,0,0.8437114172507,-0.1027777777777778,yes
positive,0,0,0.8437114172507,-0.05,no
positive,0,0,0.0,0.1,no
objective,1,1,-0.932391560181957,-0.35714285714285715,no
negative,1,1,0.502719459767061,-0.7,no
objective,1,1,1.6212342747750101,0.03333333333333333,no
neutral,0,0,0.0,-0.2,no
negative,0,0,0.0,0.8,no
positive,1,1,0.0,0.375,no
positive,4,4,1.44519921674032,0.4571428571428572,no
positive,0,0,1.09262600177811,0.04545454545454545,no
objective,1,1,0.0,0.0,no
neutral,1,1,0.0,-0.2,no
positive,2,2,0.0,0.0,no
objective,1,1,1.6484680010141979,0.04545454545454545,no
positive,1,1,3.279620842263966,0.35000000000000003,no
positive,1,1,0.0,0.5,no
neutral,1,1,1.12214305456491,0.13636363636363635,no
negative,0,0,0.0,0.2,no
objective,0,0,0.0,0.0,yes
neutral,0,0,-0.1742888330437632,-0.16666666666666666,no
negative,0,0,1.926981601258892,0.0,no
neutral,0,0,1.10479786345963,0.0,yes
positive,0,0,1.09262600177811,0.13636363636363635,no
positive,3,3,1.44519921674032,0.25,yes
neutral,0,0,0.0,0.0,no
negative,0,0,0.0,-0.39999999999999997,no
negative,1,1,0.0,0.0,no
neutral,1,1,3.05874363360067,-0.1,no
objective,1,1,-2.29668014007743,-0.09999999999999992,yes
positive,0,0,0.0,0.6,no
positive,1,1,0.0,0.0,no
positive,3,3,-0.877322438317704,0.25,no
positive,1,1,1.44519921674032,0.8,no
neutral,0,0,0.0,0.0,yes
positive,1,1,0.0,0.0,no
negative,1,1,-0.0312297973905518,0.08333333333333334,no
neutral,0,0,2.92311418244105,0.10000000000000002,no
neutral,1,1,0.0,0.13636363636363635,no
negative,0,0,1.09262600177811,-0.3106060606060606,no
neutral,1,1,0.0,0.0,yes
neutral,0,0,1.6401937746430448,-0.09621212121212121,no
neutral,2,2,0.0,-0.15555555555555559,no
positive,0,0,0.0,0.7,yes
neutral,1,1,2.878042530982622,0.0,no
positive,3,3,1.04366484030265,0.55,no
neutral,3,3,1.36163492162133,0.45,no
positive,2,2,0.0544789358725679,0.4,yes
negative,0,0,1.10479786345963,0.05,no
negative,1,1,0.0,0.0,no
objective,0,0,0.0,0.0,no
positive,1,1,0.0,0.8,yes
positive,1,1,1.962287265607708,0.275,no
positive,1,1,0.0,0.0,no
positive,5,5,2.20368868870029,0.24545454545454548,no
negative,1,1,1.9325367228028532,-0.6,no
objective,1,1,1.45276123973371,0.5,no
negative,1,1,0.8437114172507,-0.05,no
neutral,1,1,4.085657539076829,0.053125000000000006,no
objective,1,1,0.646302448515702,-0.4333333333333333,no
positive,0,0,1.09262600177811,0.13636363636363635,no
positive,2,2,2.17521007774773,0.4681818181818182,no
positive,1,1,2.188659898509707,0.25,no
positive,1,1,3.3623326782667897,0.575,no
positive,3,3,4.156459756921413,0.3,no
objective,1,1,0.0,0.0,yes
positive,1,1,0.0,0.0,no
neutral,1,1,0.0,0.0,no
negative,0,0,0.562239193758174,0.35000000000000003,no
neutral,3,3,2.04397407463079,0.1,no
neutral,1,1,2.306070916098842,-0.06666666666666667,yes
positive,1,1,3.47573912884161,0.35,yes
negative,0,0,-0.153658583492922,0.08333333333333333,no
neutral,1,1,0.0,0.0,yes
positive,3,3,0.0,1.0,no
positive,1,1,-0.48262463595909,0.45833333333333337,no
positive,0,0,0.0,0.5,yes
positive,4,4,-3.51171860862072,-0.09999999999999992,yes
positive,1,1,0.0,0.04999999999999999,no
negative,1,1,0.0,0.0,no
positive,1,1,4.281640350092307,0.2875,no
neutral,1,1,-0.03597947977910998,5.551115123125783e-17,yes
positive,0,0,0.0,0.0,no
positive,2,2,4.00318013316146,0.3121212121212121,no
neutral,0,0,1.29896406337605,0.0,no
positive,1,1,2.188659898509707,0.25,no
positive,2,2,0.0,0.0,yes
negative,1,1,0.0,0.0,no
positive,1,1,1.4601132883892,0.0,no
negative,2,2,0.9083218906642301,-0.15,no
neutral,2,2,0.0,0.0,no
positive,0,0,0.728546610120507,0.25,no
positive,0,0,0.0,0.0,no
positive,2,2,0.0,0.2,no
negative,0,0,-2.13881493250424,-0.04000000000000001,no
negative,0,0,0.0,-0.225,yes
neutral,1,1,0.927524894935943,-0.4,yes
positive,3,3,4.9086398895919405,0.44999999999999996,no
objective,0,0,0.0,0.0,no
positive,0,0,0.0,0.0,no
neutral,0,0,1.09262600177811,0.06818181818181818,no
positive,3,3,2.035318338926356,0.55,no
neutral,0,0,0.0,0.0,no
positive,1,1,1.44519921674032,0.8,no
objective,0,0,1.09262600177811,0.13636363636363635,no
positive,2,2,-0.236362416060348,0.26666666666666666,no
positive,2,2,1.40771288287908,0.35,no
neutral,1,1,0.0,0.0,no
positive,1,1,0.0,0.0,no
positive,3,3,2.12624891627227,0.5666666666666667,no
neutral,1,1,0.0,0.0,no
negative,3,3,0.0,0.0,yes
neutral,2,2,0.900711131073299,0.5,no
objective,1,1,0.617555917504432,-0.09375,no
negative,1,1,0.0,1.0,no
positive,1,1,-2.40065592169854,-0.02499999999999994,no
neutral,0,0,0.0,0.0,no
positive,1,1,1.39385229795099,0.3,no
negative,1,1,0.0,0.0,no
objective,0,0,2.613087928404988,0.05,no
positive,1,1,2.181307849854217,0.525,yes
positive,1,1,0.0,0.5,no
negative,0,0,0.0,0.5,yes
objective,0,0,0.0,0.0,no
negative,1,1,0.0,0.0,no
positive,2,2,0.927524894935943,0.125,no
positive,0,0,-3.51171860862072,-0.6999999999999998,no
positive,0,0,0.0,0.0,no
objective,2,2,1.62535028801904,0.024999999999999994,no
positive,0,0,1.10479786345963,0.0,no
positive,1,1,2.28891063399102,0.375,no
positive,2,2,2.18738193942925,0.39166666666666666,no
neutral,2,2,0.27296251072752586,0.5333333333333333,no
objective,2,2,1.21685492614942,0.35,yes
negative,0,0,0.0,0.0,no
negative,1,1,0.728546610120507,0.25,no
positive,0,0,1.67840449351246,0.6,no
positive,0,0,0.0,0.8,no
positive,2,2,0.0,0.375,no
positive,0,0,2.99233968576655,0.34545454545454546,no
neutral,1,1,0.0,0.0,no
positive,1,1,0.0,0.0,no
neutral,3,3,0.0,0.5,no
objective,3,3,1.36163492162133,0.5,no
positive,0,0,0.0,0.0,no
negative,1,1,0.0531708269587874,0.1,no
positive,1,1,1.13443751652303,0.2,no
neutral,0,0,0.0,0.0,no
negative,1,1,0.0,-0.2,no
objective,0,0,1.64328881492447,0.0,no
negative,2,2,2.552875182954983,-0.20000000000000004,no
neutral,2,2,1.72528850469984,0.1,no
positive,0,0,1.09262600177811,0.13636363636363635,yes
negative,1,1,-1.18432430821991,-0.10714285714285715,no
neutral,1,1,0.532142974661855,0.0,no
positive,0,0,0.0,0.0,no
neutral,0,0,0.0,0.0,no
neutral,3,3,1.36163492162133,0.45,no
neutral,0,0,0.0,0.0,no
negative,1,1,0.0,1.0,no
negative,1,1,0.513495502035281,0.1,no
neutral,0,0,0.0,0.0,no
positive,1,1,2.72523203203956,0.01742424242424241,no
neutral,0,0,1.210395828161003,0.25,no
positive,0,0,1.11427708612094,0.3,no
neutral,0,0,0.0,0.3,no
positive,1,1,2.7832023569720903,0.4583333333333333,no
positive,2,2,0.0,0.0,no
objective,0,0,1.09262600177811,0.06818181818181818,no
positive,1,1,1.4601132883892,0.0,no
positive,3,3,2.58268750832447,0.3833333333333333,no
positive,1,1,1.287128532834846,0.25,no
neutral,1,1,0.0,0.0,no
positive,4,4,1.36163492162133,0.2861111111111111,no
positive,1,1,1.53879123544914,0.0,no
negative,0,0,-3.51171860862072,-0.3499999999999999,no
positive,3,3,3.7703205779377695,0.525,no
positive,3,3,0.614164796115871,0.25,no
positive,2,2,0.0,0.375,no
positive,0,0,0.0,1.0,no
negative,3,3,0.0,1.0,no
negative,1,1,1.67840449351246,1.0,no
neutral,1,1,0.617555917504432,-0.09375,no
positive,2,2,0.0,0.13636363636363635,no
positive,2,2,1.32072770497898,0.4,no
negative,3,3,0.557180871508522,0.1,no
objective,0,0,0.0,0.0,no
objective,2,2,3.1127768984921627,-0.04242424242424244,no
positive,0,0,-0.019203004271713,0.25,no
negative,1,1,0.0,-0.15555555555555559,no
negative,0,0,0.989228933001679,-0.4,no
objective,0,0,0.981673207743065,0.0,no
negative,1,1,1.449844143638266,-0.325,yes
positive,0,0,1.67840449351246,0.55,no
objective,0,0,1.09262600177811,0.13636363636363635,no
positive,1,1,0.0,0.0,no
objective,0,0,0.800445074474076,0.0,no
neutral,2,2,2.010108970905563,0.2,yes
neutral,2,2,1.684203616555249,0.032467532467532464,no
positive,1,1,4.427282337181626,-0.06944444444444445,no
negative,0,0,0.0,-0.2,no
objective,0,0,2.750508389111089,-0.016666666666666666,no
negative,0,0,0.0,0.0,no
positive,2,2,-0.266152417119796,0.3,no
negative,1,1,0.337438155914862,0.2857142857142857,no
positive,2,2,0.0,0.0,no
objective,2,2,0.0,0.0,no
positive,0,0,0.0,-0.6,no
objective,1,1,0.985429359123998,0.1,no
negative,2,2,0.0,-0.024999999999999994,no
positive,5,5,6.652377370101625,0.22000000000000003,no
positive,1,1,1.22297934337273,0.45,no
positive,2,2,0.927524894935943,0.04999999999999999,no
negative,0,0,1.29896406337605,0.0,no
positive,2,2,0.0,0.0,no
negative,0,0,0.0,-0.6,yes
objective,0,0,0.0,0.0,yes
positive,2,2,3.47573912884161,0.41818181818181815,no
negative,0,0,0.0,0.0,no
positive,2,2,0.0,0.0,no
neutral,0,0,0.0,0.0,yes
positive,2,2,1.6200745476562721,0.06666666666666667,no
neutral,1,1,1.8975755542292219,0.1375,yes
objective,0,0,0.0,0.0,no
neutral,1,1,1.09262600177811,0.13636363636363635,no
objective,0,0,-0.932391560181957,0.11714285714285715,yes
negative,2,2,1.44519921674032,0.8,yes
positive,2,2,0.0,0.0,no
positive,0,0,0.0,0.0,yes
objective,1,1,0.0,0.0,no
positive,2,2,0.680720628079802,0.0,no
positive,2,2,1.866970413142537,-0.22499999999999998,no
positive,2,2,3.47573912884161,0.7,no
negative,1,1,0.0,0.30000000000000004,no
objective,1,1,0.927524894935943,-0.4,no
objective,2,2,1.09262600177811,0.22424242424242424,no
negative,1,1,1.09262600177811,0.13636363636363635,no
positive,1,1,0.0720638566793146,0.2,no
positive,1,1,1.26397635022219,0.5,no
neutral,1,1,0.0,0.0,no
positive,3,3,4.87647387015188,0.6,yes
positive,1,1,1.46358861687709,0.5,no
positive,3,3,1.40771288287908,0.5,no
positive,2,2,2.041801981056883,0.09999999999999998,no
positive,1,1,1.44519921674032,0.8,no
positive,1,1,1.67840449351246,0.3666666666666667,no
negative,0,0,0.0,-1.0,no
negative,0,0,-0.604292567809281,-0.26666666666666666,no
positive,2,2,0.0,0.2333333333333333,no
positive,1,1,2.541115466962821,0.4000000000000001,no
positive,2,2,1.08258407596962,0.8,no
positive,0,0,-0.236362416060348,-0.2,no
negative,1,1,0.0,0.0,yes
positive,1,1,0.0,0.7,no
objective,0,0,0.0,0.0,yes
neutral,1,1,2.16798028024008,0.26666666666666666,no
positive,1,1,1.12685877582905,0.8,yes
positive,1,1,1.4601132883892,0.0,no
negative,0,0,0.253724868596727,0.0,no
neutral,2,2,1.40073474131027,0.0,no
objective,1,1,0.60259011929692,0.0,no
neutral,0,0,0.0,0.0,no
negative,1,1,3.16015518630417,0.0,no
neutral,1,1,0.959290323558326,0.06818181818181818,no
neutral,0,0,1.6661499872038,0.05,no
neutral,1,1,0.617555917504432,-0.1875,no
positive,0,0,0.0,0.0,no
positive,4,4,1.855049789871886,0.30000000000000004,no
positive,2,2,4.55988082960686,0.31666666666666665,no
objective,1,1,1.7733466298579121,0.0909090909090909,no
positive,1,1,0.0,0.375,yes
negative,3,3,0.0,0.0,no
positive,1,1,1.44519921674032,0.8,no
objective,1,1,0.927524894935943,-0.4,no
positive,3,3,4.10543690202393,0.36250000000000004,no
negative,0,0,0.0,0.0,no
positive,0,0,0.513495502035281,-0.04999999999999999,no
neutral,2,2,0.1946413969128834,0.11666666666666668,no
positive,1,1,1.515759694691698,0.3,no
positive,0,0,1.09262600177811,0.41818181818181815,yes
negative,0,0,-0.0871444165218816,-0.08333333333333333,yes
neutral,2,2,0.0,-0.01666666666666668,no
negative,1,1,0.0,0.0,no
positive,0,0,0.680720628079802,0.0,no
positive,1,1,0.0,0.0,no
negative,1,1,0.0,-0.1,no
positive,1,1,1.426963742137444,-0.29375,no
negative,0,0,-2.3248761861523004,-0.08333333333333327,no
positive,1,1,0.985429359123998,-0.13333333333333333,no
negative,1,1,0.927524894935943,-0.2777777777777778,no
neutral,0,0,0.0,0.0,yes
objective,0,0,0.0,0.0,no
neutral,1,1,0.0,0.0,no
positive,0,0,0.0,-0.8,no
positive,1,1,-1.619224088063201,-0.16666666666666663,yes
neutral,0,0,0.0,0.8,no
objective,0,0,0.0,0.0,no
objective,0,0,0.680720628079802,0.0,no
positive,1,1,0.0,1.0,no
objective,2,2,0.623975345615571,-0.2125,yes
objective,1,1,0.0,0.0,no
neutral,2,2,1.36163492162133,0.25,no
positive,3,3,2.7440004259441526,0.18,no
negative,1,1,0.0,-0.225,no
positive,1,1,1.09262600177811,0.13636363636363635,no
negative,2,2,0.927524894935943,-0.4,no
positive,0,0,0.0,0.0,no
neutral,1,1,0.0,0.13636363636363635,no
positive,1,1,1.44700670157598,0.525,no
neutral,1,1,1.7461263675168441,0.0,no
positive,2,2,4.1241390731317455,0.041666666666666664,no
negative,2,2,1.04366484030265,0.3333333333333333,no
positive,0,0,0.128867069018432,0.0,no
objective,1,1,0.869896575344679,0.0,no
positive,0,0,-0.0313522422293234,-0.5,no
neutral,1,1,0.0,0.0,no
positive,2,2,0.0,0.4,no
objective,0,0,0.0,0.0,no
negative,2,2,0.0,0.13636363636363635,no
positive,0,0,0.990038789216655,-0.13333333333333333,no
positive,1,1,6.22508184183375,1.0,no
neutral,2,2,0.0,0.0,no
positive,0,0,1.4460566999866393,0.07500000000000001,no
positive,1,1,0.0,0.0,no
positive,0,0,1.21685492614942,0.22499999999999998,yes
neutral,1,1,0.680720628079802,0.0,no
positive,1,1,0.0,0.0,no
negative,4,4,-0.266152417119796,0.2,no
objective,0,0,0.0,0.0,no
positive,0,0,-0.592887503027689,0.08750000000000002,no
negative,1,1,-4.69570777196543,-0.5,no
neutral,0,0,0.0,0.0,no
positive,2,2,2.49336074308838,0.3181818181818182,no
positive,0,0,0.0,0.0,no
positive,0,0,1.26397635022219,0.26666666666666666,no
positive,2,2,1.822837064581298,0.6,no
objective,1,1,1.36163492162133,0.5,yes
neutral,0,0,0.0,0.8,no
objective,0,0,1.47082950922739,-0.1,no
positive,2,2,1.44318462459112,0.475,no
positive,2,2,0.373813441994981,0.5,no
neutral,4,4,0.0,0.0,yes
neutral,2,2,1.04366484030265,-0.23333333333333336,no
positive,1,1,0.0,1.0,no
positive,2,2,0.0,0.0,no
objective,1,1,0.927524894935943,-0.4,yes
positive,2,2,2.10047498845228,-0.19444444444444445,no
neutral,0,0,0.0,0.0,no
objective,1,1,0.0,0.0,no
negative,1,1,0.5889411899588,-0.1,no
negative,1,1,-2.8309979805409182,-0.3499999999999999,no
negative,4,4,0.426280861889116,0.3,no
positive,1,1,0.0,0.0,no
neutral,0,0,0.0,-0.15555555555555559,yes
positive,0,0,0.0,0.0,no
negative,0,0,0.8574136791389391,-0.1375,no
objective,2,2,0.0,0.0,no
positive,1,1,5.16767160365716,0.6,no
negative,0,0,0.0,-0.4,no
positive,0,0,0.0,0.0,no
neutral,1,1,3.4752632299109383,0.03409090909090909,no
positive,0,0,1.3950360141998481,0.07,no
neutral,1,1,0.927524894935943,-0.4,no
positive,2,2,0.0,0.3833333333333333,no
objective,0,0,0.539273336475273,0.0,no
neutral,1,1,1.09262600177811,0.06818181818181818,no
neutral,0,0,0.0,0.0,no
positive,3,3,3.55394059053134,0.9333333333333332,no
neutral,0,0,1.47303703528202,0.0,yes
positive,1,1,0.0,0.0,no
neutral,0,0,-3.51171860862072,-0.09999999999999992,no
objective,0,0,0.0,0.0,no
positive,2,2,0.0,0.4121212121212121,no
positive,1,1,0.0,0.0,no
positive,0,0,0.0,0.0,no
positive,1,1,0.0,0.0,yes
positive,1,1,1.26397635022219,0.5,no
neutral,0,0,0.0,0.0,no
positive,0,0,1.18684242246842,-0.05,no
positive,1,1,1.67840449351246,1.0,no
neutral,0,0,-0.0313522422293234,-0.5,no
negative,1,1,1.29896406337605,0.0,no
positive,1,1,1.65607150505645,-0.07500000000000001,yes
neutral,2,2,1.6661499872038,0.05,no
positive,3,3,2.8126370194658117,0.40625,no
positive,2,2,2.010108970905563,0.375,no
positive,1,1,1.16775105648271,0.5,no
negative,1,1,0.0,0.0,no
neutral,0,0,0.835616076147517,0.0,yes
negative,0,0,0.0,0.0,no
positive,2,2,2.12624891627227,0.5666666666666667,no
neutral,2,2,2.9203084539032274,0.1,no
positive,1,1,0.0,-0.125,no
objective,0,0,1.09262600177811,0.13636363636363635,no
objective,1,1,0.0,0.4454545454545455,no
negative,2,2,-3.51171860862072,-0.27499999999999997,no
negative,1,1,-0.620786014146011,-0.7,no
positive,2,2,1.44519921674032,0.575,no
negative,1,1,0.0,0.0,no
negative,1,1,0.0,0.0,no
objective,3,3,0.927524894935943,-0.13181818181818183,no
positive,0,0,2.9315432558957353,0.04,no
negative,4,4,0.0,-0.04444444444444446,no
neutral,2,2,1.0466531568771,0.0,no
positive,0,0,0.0,0.6,yes
neutral,1,1,0.7657243959134,-0.2541666666666667,no
negative,0,0,0.0,0.0,yes
objective,0,0,1.09262600177811,0.13636363636363635,no
positive,2,2,0.0,0.0,no
positive,0,0,-0.0871444165218816,0.016666666666666677,no
objective,1,1,1.73060778287553,0.5,no
negative,0,0,1.22982014009508,0.0,yes
positive,1,1,0.253724868596727,0.5,yes
negative,0,0,1.36538829072026,0.3,no
positive,1,1,2.2190749495805697,0.3,no
positive,2,2,2.756330086332222,0.30625,no
