@relation opinion
@attribute category {positive,negative,neutral,objective}
@attribute polarity real
@attribute compound real
@data
positive,0.35000000000000003,0.4389
neutral,1.0,0.6249
positive,0.30000000000000004,0.7067
objective,0.0,0.0
objective,0.25,0.0
negative,-0.16666666666666666,-0.5142
positive,0.0,0.3612
positive,0.58,0.7351
neutral,0.0,-0.2263
neutral,0.0,0.0
neutral,0.0,0.0
objective,0.0,0.0
neutral,0.425,0.0
neutral,0.0,-0.4497
neutral,-0.1,0.1511
negative,0.0,0.3107
negative,0.0,-0.2263
negative,0.375,0.636
positive,0.30000000000000004,0.8478
positive,-0.21666666666666667,-0.3412
positive,-0.2,0.0
negative,0.34545454545454546,-0.0258
negative,0.0,-0.3252
neutral,0.3,0.4215
objective,0.0,0.4574
objective,0.0,0.0
positive,0.44999999999999996,0.7845
negative,-0.1,-0.4939
positive,0.1,0.7564
negative,0.4,0.4404
neutral,-0.4,-0.5972
neutral,0.0,0.0
positive,0.4444444444444444,0.8705
objective,-0.4,0.0
positive,0.0,0.2168
negative,0.0,0.0
negative,0.0500000000000001,-0.1779
positive,0.85,0.5994
positive,0.5,0.7125
positive,0.2,0.2193
positive,0.2,0.3597
positive,0.23484848484848483,0.8519
positive,0.15,0.4753
positive,0.0,0.0
objective,0.0,0.0
objective,0.0,0.5423
negative,0.3888888888888889,0.858
negative,-0.4,0.0
neutral,0.0,0.0
positive,0.5,0.0
negative,0.016666666666666677,-0.3612
positive,0.5,0.5267
positive,0.4444444444444445,-0.2263
neutral,0.0,0.3802
negative,0.0,0.4019
objective,0.0,0.0
objective,-0.033333333333333326,0.34
neutral,-0.3,0.0
positive,0.0,0.0
positive,0.13636363636363635,0.875
neutral,0.0,0.5411
negative,0.3,0.0
positive,0.0,0.4588
positive,0.0,0.0
objective,0.25,0.4404
neutral,0.0,0.0
positive,0.23333333333333336,0.6449
negative,0.0,0.3818
objective,0.0,0.4939
negative,-0.2222222222222222,-0.296
positive,0.8,0.0
positive,0.6,0.875
neutral,0.0,0.0
neutral,0.24999999999999997,0.8442
negative,0.125,-0.4291
positive,0.5833333333333334,0.6908
positive,0.3181818181818182,0.4019
positive,0.0,0.7603
neutral,0.019999999999999997,0.8271
negative,0.09999999999999999,0.0
objective,0.07878787878787878,-0.296
positive,0.0,-0.4003
positive,0.5,0.8126
neutral,0.25,0.6249
objective,0.0,0.0
positive,0.6,0.9269
positive,0.009615384615384609,0.4019
positive,0.39999999999999997,0.4588
objective,0.21666666666666667,0.5994
positive,0.3,0.6696
objective,0.5,0.9325
negative,-0.28846153846153844,-0.5719
negative,0.011904761904761899,-0.2411
neutral,0.4,0.5562
positive,0.3333333333333333,0.9042
negative,-0.6999999999999998,-0.3164
neutral,-0.6,-0.4404
neutral,-0.1,0.34
positive,0.0,0.5242
neutral,0.0,0.4215
objective,0.0,0.0
positive,0.24999999999999997,0.128
positive,0.06250000000000003,0.1756
negative,0.25,0.4404
positive,0.5,0.5719
objective,0.3,0.0
neutral,0.2,0.8402
neutral,0.0,0.0
positive,0.25,0.7269
positive,0.0,0.0
positive,0.13636363636363635,0.5859
positive,-0.07765151515151517,-0.4215
positive,0.6,0.4215
positive,0.6,0.5267
objective,0.0,0.0
objective,0.0,0.0
positive,1.0,0.6369
negative,0.8,0.6467
neutral,0.2,0.0772
neutral,0.0,0.0
neutral,0.51,0.0
neutral,0.0,0.34
negative,0.025,0.3818
positive,0.13636363636363635,0.0
neutral,0.8,-0.3681
negative,-0.1027777777777778,0.2732
positive,-0.05,0.0
positive,0.1,0.4588
objective,-0.35714285714285715,-0.765
negative,-0.7,-0.3164
objective,0.03333333333333333,0.0
neutral,-0.2,0.0
negative,0.8,0.5859
positive,0.375,0.34
positive,0.4571428571428572,0.9673
positive,0.04545454545454545,0.6166
objective,0.0,0.0
neutral,-0.2,-0.2924
positive,0.0,0.6209
objective,0.04545454545454545,-0.25
positive,0.35000000000000003,0.4588
positive,0.5,0.6003
neutral,0.13636363636363635,0.0
negative,0.2,-0.6361
objective,0.0,0.0
neutral,-0.16666666666666666,0.0
negative,0.0,-0.0516
neutral,0.0,0.2387
positive,0.13636363636363635,0.6103
positive,0.25,0.7311
neutral,0.0,0.0
negative,-0.39999999999999997,-0.2732
negative,0.0,-0.1027
neutral,-0.1,0.0
objective,-0.09999999999999992,0.2714
positive,0.6,-0.2942
positive,0.0,0.0
positive,0.25,0.1531
positive,0.8,0.7959
neutral,0.0,0.25
positive,0.0,0.6705
negative,0.08333333333333334,-0.101
neutral,0.10000000000000002,0.5229
neutral,0.13636363636363635,0.25
negative,-0.3106060606060606,-0.9699
neutral,0.0,-0.5983
neutral,-0.09621212121212121,-0.1779
neutral,-0.15555555555555559,0.34
positive,0.7,0.743
neutral,0.0,0.128
positive,0.55,0.6003
neutral,0.45,0.8481
positive,0.4,0.601
negative,0.05,0.2263
negative,0.0,-0.4215
objective,0.0,0.0
positive,0.8,0.8295
positive,0.275,0.25
positive,0.0,0.0
positive,0.24545454545454548,0.9059
negative,-0.6,0.3612
objective,0.5,0.0
negative,-0.05,0.0
neutral,0.053125000000000006,0.7269
objective,-0.4333333333333333,0.296
positive,0.13636363636363635,0.0
positive,0.4681818181818182,0.6249
positive,0.25,0.8442
positive,0.575,0.7163
positive,0.3,0.5927
objective,0.0,0.0
positive,0.0,0.6496
neutral,0.0,0.0
negative,0.35000000000000003,0.0
neutral,0.1,-0.5859
neutral,-0.06666666666666667,0.0
positive,0.35,0.533
negative,0.08333333333333333,-0.631
neutral,0.0,0.3612
positive,1.0,0.7717
positive,0.45833333333333337,0.9234
positive,0.5,-0.2244
positive,-0.09999999999999992,0.1779
positive,0.04999999999999999,0.34
negative,0.0,-0.3818
positive,0.2875,0.8478
neutral,5.551115123125783e-17,-0.0323
positive,0.0,0.0
positive,0.3121212121212121,0.5994
neutral,0.0,-0.5994
positive,0.25,0.6369
positive,0.0,0.7019
negative,0.0,0.3595
positive,0.0,0.8553
negative,-0.15,-0.3595
neutral,0.0,0.6369
positive,0.25,0.0
positive,0.0,0.2714
positive,0.2,0.765
negative,-0.04000000000000001,-0.9509
negative,-0.225,-0.8236
neutral,-0.4,0.0
positive,0.44999999999999996,0.7845
objective,0.0,0.5574
positive,0.0,0.5962
neutral,0.06818181818181818,-0.3818
positive,0.55,0.8439
neutral,0.0,0.0
positive,0.8,0.6114
objective,0.13636363636363635,0.2732
positive,0.26666666666666666,-0.1007
positive,0.35,-0.1739
neutral,0.0,-0.2263
positive,0.0,0.4278
positive,0.5666666666666667,0.8619
neutral,0.0,0.0
negative,0.0,0.0
neutral,0.5,0.6249
objective,-0.09375,0.34
negative,1.0,0.6124
positive,-0.02499999999999994,0.0772
neutral,0.0,0.6209
positive,0.3,0.7184
negative,0.0,0.0
objective,0.05,0.2023
positive,0.525,0.7783
positive,0.5,0.63
negative,0.5,-0.5574
objective,0.0,0.0
negative,0.0,-0.6597
positive,0.125,0.0
positive,-0.6999999999999998,-0.5848
positive,0.0,0.0
objective,0.024999999999999994,0.4019
positive,0.0,0.0
positive,0.375,0.5719
positive,0.39166666666666666,0.6696
neutral,0.5333333333333333,0.8481
objective,0.35,0.0
negative,0.0,-0.7184
negative,0.25,-0.4215
positive,0.6,0.6973
positive,0.8,0.8498
positive,0.375,0.7034
positive,0.34545454545454546,0.0
neutral,0.0,0.0
positive,0.0,-0.3561
neutral,0.5,0.7717
objective,0.5,0.8118
positive,0.0,0.0772
negative,0.1,0.0
positive,0.2,0.5399
neutral,0.0,0.2023
negative,-0.2,-0.8912
objective,0.0,0.0
negative,-0.20000000000000004,-0.6369
neutral,0.1,0.5983
positive,0.13636363636363635,0.2225
negative,-0.10714285714285715,0.1027
neutral,0.0,0.0
positive,0.0,0.0
neutral,0.0,-0.4019
neutral,0.45,0.8164
neutral,0.0,0.1511
negative,1.0,-0.128
negative,0.1,0.4767
neutral,0.0,0.0772
positive,0.01742424242424241,0.765
neutral,0.25,0.0
positive,0.3,0.6808
neutral,0.3,0.5719
positive,0.4583333333333333,0.6249
positive,0.0,0.4588
objective,0.06818181818181818,0.0
positive,0.0,0.8442
positive,0.3833333333333333,0.6249
positive,0.25,0.4588
neutral,0.0,0.4215
positive,0.2861111111111111,0.0085
positive,0.0,0.0
negative,-0.3499999999999999,-0.7398
positive,0.525,0.6908
positive,0.25,0.7906
positive,0.375,0.6802
positive,1.0,0.6369
negative,1.0,0.6369
negative,1.0,0.6249
neutral,-0.09375,0.34
positive,0.13636363636363635,0.4404
positive,0.4,0.5399
negative,0.1,-0.1531
objective,0.0,0.0
objective,-0.04242424242424244,0.0
positive,0.25,0.0
negative,-0.15555555555555559,0.1007
negative,-0.4,-0.4767
objective,0.0,0.0
negative,-0.325,-0.7319
positive,0.55,0.4954
objective,0.13636363636363635,0.1511
positive,0.0,-0.0516
objective,0.0,0.0
neutral,0.2,0.7458
neutral,0.032467532467532464,0.25
positive,-0.06944444444444445,-0.5267
negative,-0.2,-0.7696
objective,-0.016666666666666666,0.0
negative,0.0,-0.4753
positive,0.3,0.3584
negative,0.2857142857142857,-0.296
positive,0.0,-0.5528
objective,0.0,0.4404
positive,-0.6,0.34
objective,0.1,0.5147
negative,-0.024999999999999994,0.25
positive,0.22000000000000003,0.875
positive,0.45,0.0
positive,0.04999999999999999,0.0
negative,0.0,-0.8126
positive,0.0,0.886
negative,-0.6,0.0
objective,0.0,0.0
positive,0.41818181818181815,0.4404
negative,0.0,0.0
positive,0.0,0.34
neutral,0.0,-0.2406
positive,0.06666666666666667,0.2905
neutral,0.1375,-0.3885
objective,0.0,0.2714
neutral,0.13636363636363635,0.4939
objective,0.11714285714285715,0.5502
negative,0.8,0.6868
positive,0.0,0.69
positive,0.0,0.5707
objective,0.0,0.3612
positive,0.0,0.5719
positive,-0.22499999999999998,0.024
positive,0.7,0.8585
negative,0.30000000000000004,0.6983
objective,-0.4,0.0
objective,0.22424242424242424,0.0
negative,0.13636363636363635,0.5859
positive,0.2,-0.4588
positive,0.5,0.783
neutral,0.0,0.0
positive,0.6,0.836
positive,0.5,0.4019
positive,0.5,0.6369
positive,0.09999999999999998,0.5994
positive,0.8,0.8638
positive,0.3666666666666667,0.9503
negative,-1.0,-0.6249
negative,-0.26666666666666666,-0.25
positive,0.2333333333333333,0.0
positive,0.4000000000000001,0.4754
positive,0.8,0.7351
positive,-0.2,-0.9042
negative,0.0,0.0
positive,0.7,0.4968
objective,0.0,0.0
neutral,0.26666666666666666,0.7096
positive,0.8,0.6062
positive,0.0,0.8743
negative,0.0,-0.2006
neutral,0.0,0.3182
objective,0.0,0.0
neutral,0.0,-0.1531
negative,0.0,0.4926
neutral,0.06818181818181818,-0.8002
neutral,0.05,0.0
neutral,-0.1875,0.2975
positive,0.0,0.0
positive,0.30000000000000004,0.7717
positive,0.31666666666666665,0.4404
objective,0.0909090909090909,0.0
positive,0.375,0.4696
negative,0.0,-0.0772
positive,0.8,0.5719
objective,-0.4,0.0
positive,0.36250000000000004,0.8817
negative,0.0,0.1882
positive,-0.04999999999999999,0.4926
neutral,0.11666666666666668,0.6671
positive,0.3,0.4005
positive,0.41818181818181815,0.743
negative,-0.08333333333333333,0.1779
neutral,-0.01666666666666668,-0.0772
negative,0.0,0.0
positive,0.0,0.0
positive,0.0,0.8798
negative,-0.1,-0.34
positive,-0.29375,0.0
negative,-0.08333333333333327,0.6369
positive,-0.13333333333333333,0.3147
negative,-0.2777777777777778,-0.4588
neutral,0.0,0.0
objective,0.0,0.0
neutral,0.0,0.4019
positive,-0.8,-0.7405
positive,-0.16666666666666663,0.3802
neutral,0.8,0.4215
objective,0.0,0.0
objective,0.0,0.5267
positive,1.0,0.7783
objective,-0.2125,0.3695
objective,0.0,0.0
neutral,0.25,0.4404
positive,0.18,0.6597
negative,-0.225,-0.25
positive,0.13636363636363635,0.5859
negative,-0.4,0.5859
positive,0.0,0.7901
neutral,0.13636363636363635,0.2023
positive,0.525,0.8478
neutral,0.0,0.0
positive,0.041666666666666664,0.0
negative,0.3333333333333333,0.5994
positive,0.0,0.0
objective,0.0,0.0
positive,-0.5,0.4215
neutral,0.0,0.4215
positive,0.4,0.8313
objective,0.0,0.0
negative,0.13636363636363635,-0.5826
positive,-0.13333333333333333,-0.6697
positive,1.0,0.6892
neutral,0.0,-0.0286
positive,0.07500000000000001,0.1531
positive,0.0,0.6166
positive,0.22499999999999998,0.7865
neutral,0.0,-0.3578
positive,0.0,0.0
negative,0.2,0.327
objective,0.0,0.0
positive,0.08750000000000002,-0.1759
negative,-0.5,-0.4767
neutral,0.0,-0.296
positive,0.3181818181818182,0.6705
positive,0.0,-0.296
positive,0.26666666666666666,0.6705
positive,0.6,0.8236
objective,0.5,0.7339
neutral,0.8,0.8176
objective,-0.1,0.0772
positive,0.475,0.7835
positive,0.5,0.6908
neutral,0.0,0.8286
neutral,-0.23333333333333336,0.6476
positive,1.0,0.6369
positive,0.0,0.7351
objective,-0.4,0.0
positive,-0.19444444444444445,0.7835
neutral,0.0,0.0
objective,0.0,0.0
negative,-0.1,-0.6369
negative,-0.3499999999999999,-0.5423
negative,0.3,0.8122
positive,0.0,0.7177
neutral,-0.15555555555555559,0.0
positive,0.0,0.5719
negative,-0.1375,-0.8555
objective,0.0,0.0
positive,0.6,0.4215
negative,-0.4,-0.8553
positive,0.0,0.2905
neutral,0.03409090909090909,0.0
positive,0.07,0.7031
neutral,-0.4,-0.1796
positive,0.3833333333333333,0.717
objective,0.0,0.0
neutral,0.06818181818181818,-0.658
neutral,0.0,0.0
positive,0.9333333333333332,0.9151
neutral,0.0,0.0
positive,0.0,0.3382
neutral,-0.09999999999999992,-0.202
objective,0.0,0.0
positive,0.4121212121212121,0.6369
positive,0.0,-0.0026
positive,0.0,0.3786
positive,0.0,0.2244
positive,0.5,0.0
neutral,0.0,0.0
positive,-0.05,0.0516
positive,1.0,0.6249
neutral,-0.5,-0.4753
negative,0.0,-0.4019
positive,-0.07500000000000001,0.0
neutral,0.05,0.5423
positive,0.40625,0.6705
positive,0.375,0.8519
positive,0.5,0.7332
negative,0.0,0.3612
neutral,0.0,0.1007
negative,0.0,0.0
positive,0.5666666666666667,0.8402
neutral,0.1,0.0
positive,-0.125,0.8405
objective,0.13636363636363635,0.5859
objective,0.4454545454545455,0.0
negative,-0.27499999999999997,0.2263
negative,-0.7,0.3612
positive,0.575,0.9037
negative,0.0,-0.5255
negative,0.0,0.0
objective,-0.13181818181818183,0.0
positive,0.04,-0.4153
negative,-0.04444444444444446,0.4404
neutral,0.0,0.2598
positive,0.6,0.4215
neutral,-0.2541666666666667,-0.4199
negative,0.0,0.0
objective,0.13636363636363635,0.0
positive,0.0,0.8271
positive,0.016666666666666677,0.5574
objective,0.5,0.4019
negative,0.0,0.0
positive,0.5,0.7269
negative,0.3,-0.5267
positive,0.3,0.6361
positive,0.30625,-0.1379
neutral,0.0,0.0
negative,-0.6999999999999998,-0.8402
objective,0.225,-0.296
positive,0.18,-0.3612
negative,0.35714285714285715,0.4574
neutral,0.25,0.184
positive,0.0,0.0
positive,0.0,0.8236
positive,0.0,0.0
positive,0.3125,0.6808
neutral,0.25,0.0
positive,0.016666666666666663,-0.2732
positive,0.13636363636363635,0.4939
negative,0.0,-0.7574
positive,0.35000000000000003,0.6884
objective,0.0,0.4767
positive,0.0,0.5903
positive,0.0,0.6331
objective,-0.125,0.0
positive,0.45,0.4926
positive,0.425,0.0
positive,0.0,0.4497
objective,-0.2,0.0
negative,-0.041666666666666664,-0.1655
negative,0.5,0.0
neutral,0.0,0.0
negative,-0.5,0.5093
positive,0.25,0.6369
neutral,0.0,0.0
negative,-0.30000000000000004,-0.5994
neutral,0.0,0.0772
neutral,0.1,0.4019
positive,0.4625,0.3384
objective,0.0,0.3612
negative,0.0,0.0
objective,-0.23076923076923078,0.4404
positive,0.20833333333333334,0.7125
negative,0.0,-0.1759
negative,0.25,-0.0516
positive,0.25,0.2225
negative,-0.2,-0.4404
positive,0.4333333333333333,0.7896
objective,0.12878787878787878,0.0
objective,0.0,0.0
positive,-0.4,0.0
negative,0.5,-0.4153
neutral,0.31212121212121213,0.7896
positive,0.8,0.6948
objective,-0.0625,0.2732
positive,0.0,0.9106
positive,0.0,-0.2732
neutral,0.0,-0.4215
positive,0.0,-0.7372
positive,0.2222222222222222,0.5093
positive,-0.038095238095238106,0.0
negative,-0.125,-0.5095
objective,0.0,0.0
positive,0.0,0.0
negative,0.13636363636363635,-0.1531
negative,-0.5,-0.3939
neutral,0.375,0.1007
negative,-0.2,-0.743
objective,-0.15,0.6408
neutral,0.0,0.6908
positive,0.0,0.0
objective,-0.4,0.7003
positive,0.2722222222222222,0.4404
positive,0.21666666666666667,0.9114
neutral,0.6,0.0
positive,0.0,0.5719
positive,0.375,0.4479
positive,1.0,0.7351
positive,0.6000000000000001,0.658
positive,0.3611111111111111,0.7906
objective,-0.3125,0.4019
positive,0.27777777777777773,0.6688
negative,0.0,0.128
objective,0.08888888888888889,0.0
positive,0.8,0.7777
neutral,0.25,-0.0772
neutral,0.4,0.0
neutral,0.2875,0.0
positive,1.0,0.6369
objective,0.0,-0.6249
objective,0.0,0.0
positive,0.13636363636363635,-0.7525
objective,-0.16666666666666666,0.0
positive,0.4215909090909091,0.886
neutral,0.0,0.0
positive,0.3333333333333333,0.6588
negative,0.9,0.5719
positive,0.0,0.7463
negative,0.35,0.6378
neutral,0.35,0.8122
positive,0.175,0.3612
neutral,-0.4,0.5267
objective,0.0,0.0
positive,0.5,0.7096
objective,0.0,0.4588
negative,-0.4,0.2771
objective,0.0,0.0
positive,0.0,0.8777
negative,-0.5,-0.7178
positive,0.575,0.5719
neutral,-0.4,0.0
positive,0.0,0.0
neutral,0.3333333333333333,0.765
positive,0.4,-0.1531
negative,0.0,-0.4215
positive,0.19814814814814816,0.8126
neutral,-0.012500000000000011,-0.0772
objective,0.06818181818181818,0.0
positive,0.3333333333333333,0.5994
neutral,0.0,0.5684
negative,0.0,0.0
positive,0.1,0.7345
positive,0.0,0.0516
neutral,0.0,0.0
positive,0.4,0.6249
neutral,0.2,0.0
positive,0.0,0.4939
positive,-0.13181818181818183,0.5719
objective,0.0,-0.3291
neutral,0.14285714285714285,0.1779
negative,0.0,-0.5574
positive,0.3,0.6973
neutral,-0.125,0.4019
neutral,-0.1,0.0
objective,-0.125,0.0
objective,0.0,0.0
positive,0.5875,0.9353
positive,0.7,0.128
positive,0.0,0.4588
negative,-0.8,-0.8209
positive,0.0,-0.7469
neutral,0.0,0.4588
negative,-0.15555555555555559,0.25
positive,0.35,0.5423
objective,0.0,0.0
positive,0.35,0.5927
neutral,-0.2,0.6808
negative,0.07708333333333332,-0.4939
positive,0.35,0.4753
objective,0.0,0.34
positive,0.13636363636363635,0.4588
neutral,0.0,0.0
positive,0.0,0.4588
positive,0.21666666666666667,0.8456
positive,0.3,0.4215
positive,0.8,0.5719
neutral,0.0,0.0
positive,0.7,0.5106
objective,0.13636363636363635,-0.7579
objective,0.25,0.0
negative,-0.025,-0.2263
neutral,0.0,-0.2732
objective,0.13636363636363635,0.0
neutral,0.16818181818181818,0.4404
positive,0.0,0.0
objective,0.0,0.0
positive,0.7,0.3937
positive,0.0,0.0
positive,0.8,0.743
positive,0.0,0.3818
positive,0.3,0.3971
neutral,0.0,-0.6249
positive,-0.08333333333333333,-0.658
negative,-0.4,-0.5994
positive,0.8,0.7717
positive,0.0,0.0
positive,0.35,0.69
positive,0.0,-0.2755
negative,-0.4,-0.7717
objective,0.0,0.0
neutral,0.0,0.0
positive,0.6,0.7906
positive,0.375,0.4019
objective,0.022222222222222213,0.0
objective,0.0,0.7351
positive,0.0,0.0
positive,0.0,0.5574
negative,0.0,-0.3818
negative,0.3181818181818182,-0.3412
positive,0.7,0.6696
neutral,0.0,0.68
positive,0.9,0.9164
positive,0.025,0.7906
positive,0.5,0.6808
positive,0.45,0.5859
positive,0.2222222222222222,0.4019
positive,-0.4,0.0
positive,0.0,0.6408
objective,0.5,0.4926
positive,0.75,0.7825
negative,0.08333333333333333,0.0638
neutral,0.25,0.6908
positive,0.25,0.4404
neutral,0.15,-0.1779
negative,0.5,0.7003
negative,0.35,-0.6249
neutral,0.5,0.4019
positive,0.13333333333333333,0.4738
positive,0.5,0.6103
negative,-0.18181818181818182,-0.5509
negative,0.0,0.5106
negative,0.0,-0.5267
positive,0.375,0.6808
objective,0.0,0.34
neutral,0.11481481481481481,0.0
positive,0.0,0.0
positive,0.7,0.7096
positive,-0.4,0.6124
positive,0.0,0.0
positive,0.375,0.4559
negative,0.0,0.5197
positive,0.1,0.0
neutral,-0.4,0.0
negative,-0.2,0.6124
objective,0.0,0.0
negative,0.35000000000000003,-0.0757
objective,0.0,0.0
negative,0.0,0.25
positive,0.32323232323232326,0.8689
negative,0.15000000000000002,-0.5859
positive,0.0,0.6124
positive,0.35,0.6476
negative,0.06818181818181818,-0.4986
positive,0.66,0.9705
objective,0.25,0.2714
positive,0.25875000000000004,0.8513
neutral,0.0,-0.7717
positive,0.35,0.0
neutral,0.0,0.0
negative,0.19360269360269358,0.0
positive,0.0,-0.0572
positive,0.35,0.7345
neutral,0.0,0.0
positive,0.2888888888888889,0.8519
neutral,0.9,0.5267
positive,0.5,0.6369
objective,0.0,0.0
neutral,0.16666666666666669,0.2481
neutral,-0.6,0.0
objective,-0.4,0.0
neutral,0.0,0.0
negative,0.45,-0.7096
negative,-0.3,-0.4574
negative,0.16,-0.6249
objective,-0.6999999999999998,-0.5423
positive,0.06,0.7175
negative,0.5,-0.1945
positive,0.2,0.5574
positive,-0.4,0.0
neutral,0.4,0.0
positive,0.6499999999999999,0.5106
positive,0.5523809523809524,0.9545
objective,0.0625,-0.1779
positive,0.44999999999999996,0.7717
positive,0.0,0.3987
positive,-0.4,0.0
positive,0.5,0.6103
objective,0.0,0.4404
neutral,0.20833333333333334,0.0772
positive,-0.4,0.0
positive,1.0,0.9136
negative,-0.1875,0.3612
neutral,0.3333333333333333,0.6696
negative,-0.22499999999999992,-0.6705
neutral,0.0,0.327
objective,0.0,0.0
neutral,0.25,-0.5446
negative,0.475,0.825
neutral,0.0,0.6531
neutral,0.0,0.0
neutral,0.7,0.4926
negative,-0.1125,-0.5267
positive,0.8,0.8626
positive,0.2,0.7712
neutral,0.65,0.7003
objective,0.13636363636363635,0.0
neutral,0.031249999999999993,-0.296
negative,-0.13333333333333336,-0.0258
positive,0.25,0.0
negative,-0.3333333333333333,-0.4939
positive,0.4375,0.5719
objective,-0.05454545454545454,0.4215
objective,0.13636363636363635,0.34
positive,0.4000000000000001,-0.3111
negative,-0.275,0.1027
positive,0.45,0.6983
objective,0.25,0.755
positive,0.55,0.7783
neutral,0.19999999999999998,-0.7438
positive,0.7,0.7096
positive,0.12222222222222222,0.5538
positive,0.25,0.0
positive,0.2,0.2389
positive,0.7000000000000001,0.8957
positive,0.3055555555555555,0.4588
objective,-0.0638888888888889,-0.4019
negative,0.0,0.1531
positive,0.175,0.7082
neutral,0.3333333333333333,0.8253
positive,0.5833333333333333,0.9062
positive,0.26785714285714285,0.0
negative,0.04999999999999999,-0.0444
neutral,-0.45,0.0
negative,0.043181818181818175,-0.4404
objective,0.0,0.0
positive,1.0,0.5719
positive,0.5,0.2023
objective,0.0,-0.7096
negative,0.0625,0.0
positive,0.7,0.4404
negative,-0.3125,-0.4588
positive,0.0,0.6705
positive,1.0,0.4019
neutral,0.0,0.0
neutral,0.25,0.3612
neutral,-0.025,0.0258
objective,-0.1,-0.5165
positive,0.04999999999999999,0.7418
positive,0.0,-0.368
objective,0.07777777777777779,0.0
positive,1.0,0.6369
negative,0.0,0.0
negative,0.30000000000000004,-0.1531
positive,0.125,0.7339
neutral,0.0,0.0
positive,0.2,0.0
positive,0.08333333333333333,0.0
negative,-0.2,-0.9081
neutral,0.13636363636363635,0.0
neutral,0.19999999999999998,0.0
positive,0.1,0.6697
positive,0.0,0.4359
objective,-0.6999999999999998,-0.5423
objective,0.024999999999999994,0.2732
positive,-0.06272727272727273,0.4912
objective,0.0,0.0
negative,-0.23333333333333328,-0.8225
positive,-0.07692307692307693,-0.4648
positive,-0.025000000000000022,-0.3056
positive,0.8,0.7783
positive,0.525,0.9186
neutral,0.0,0.0
positive,0.0,0.0
positive,0.0,0.0
negative,0.016666666666666666,0.3818
neutral,-0.033333333333333326,0.4122
neutral,-0.5,-0.5255
positive,0.5,0.2023
negative,0.0,-0.296
objective,0.0,0.0
negative,0.0,0.0
neutral,0.0,0.765
objective,0.0,0.0
negative,-0.04999999999999999,0.0
positive,0.3,0.0
objective,0.1,0.0
objective,0.0,0.0
negative,0.3,0.3182
neutral,0.0,0.5719
objective,-0.15555555555555559,0.0
positive,0.0,0.7964
positive,0.14861111111111114,0.859
neutral,0.0,0.4215
positive,0.48750000000000004,0.4005
neutral,-0.08333333333333333,0.0
negative,0.0,-0.4497
negative,0.0,0.0
positive,0.525,0.6908
positive,0.25,0.6369
neutral,0.3181818181818182,0.34
